mouse_intravenous_LD50_(?log(mol/kg)),canonical_smiles
2.137742048,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
5.173968028,O=C1CCCN1CC#CCN1CCCC1
3.595886126,CN(N=O)C(N)=N[N+](=O)[O-]
1.385602184,CCS(=O)CC
3.350785125,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
3.012380445,CCC(=O)c1ccc(N)cc1
1.889741378,NC(Cc1cnc[nH]1)C(=O)O
1.935612788,CCCO
2.293611638,CCCCO
2.680404494,CCCCCO
6.205281716,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC
5.270849192,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.376095914,O=C1OC(c2ccc(O)c(S(=O)(=O)O)c2)(c2ccc(O)c(S(=O)(=O)O)c2)c2c(Br)c(Br)c(Br)c(Br)c21
3.576669209,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
4.126085929,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
3.874148286,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.22922379,CC(C)COP(=O)(OC=C(Cl)Cl)OCC(C)C
1.61417462,CC(O)C(=O)O
3.249465577,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
3.425087665,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O
3.110744921,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
3.028120108,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
4.131291358,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.953316496,CCC(CO)NCCNC(CC)CO
2.538612718,CN(C)C
1.682996653,CC(C)(C)O
3.727482516,CS(=O)(=O)O
2.159892482,CCC(C)(C)O
2.602229333,OCC(F)(F)F
1.318469136,FC(F)(Cl)C(F)(Cl)Cl
3.041303185,COC(F)(F)C(Cl)Cl
3.592290037,C=CC[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
3.622729592,CCC1CN2CCC3(C(=O)Nc4ccccc43)C2CC1C(=COC)C(=O)OC
3.399859121,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
3.545255147,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
3.189992224,ClC(c1ccccc1)(c1ccccc1)c1ccccc1
3.721423416,Cl[Si](c1ccccc1)(c1ccccc1)c1ccccc1
4.540818333,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
3.445095558,CCC1CC2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C(C(=O)OC)(C2)C13
4.03134382,NC(=O)C(CCN1CCCCC1)(c1ccccc1)c1ccccc1
3.604334073,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1
3.647706525,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C
2.257647812,CCC1(C)CC(=O)NC1=O
4.031066771,C=CS(=O)(=O)C=C
3.609312732,c1ccc([Sn](S[Sn](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1
6.033769445,CCOP(=O)(C#N)N(C)C
2.000487859,NC(CO)(CO)CO
3.527723966,CCCC[Sn]1(CCCC)OC(=O)CCS1
2.82168749,C=CC1OCC2(CO1)COC(C=C)OC2
3.198046947,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
3.650305788,CCCCOP(=O)(CCCC)OCCCC
3.345130754,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
3.091721656,OC1(C#CC2(O)CCCCC2)CCCCC1
2.932961114,C=CC(C)(O)CCC=C(C)C
2.249816933,CC(C)CO
1.98685963,CCC(C)O
2.456311797,C=C(O)C=O
3.588359309,ClC=C(Cl)Cl
3.547709341,O=C(Cl)CCl
2.715599485,NC(=O)CCl
2.073815094,CCC(=O)O
1.260202121,CNC(C)=O
3.845760907,NNC(N)=S
3.629223474,CC(=O)OO
3.331723667,NC(=S)C(N)=S
3.077942949,O=C(C(F)(F)Cl)C(F)(Cl)Cl
4.631445393,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C
2.926982145,CC(C)(O)C(C)(O)c1ccc(Cl)cc1
4.010884842,Cc1cc(C(C)(C)c2ccc(O)c(C)c2)ccc1O
3.042806445,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2.486533903,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
4.651597954,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C
3.587005004,CCc1ccc2c(c1)C(C)(C)CCC2(C)C
4.505851069,CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3.526238735,Cc1cccc(C)c1[N+](=O)[O-]
3.467195705,C1C2OC2C2C1C1CC2C2OC12
3.390611325,Cc1ccc2c(c1-c1c(C)ccc3c1C(=O)c1ccccc1C3=O)C(=O)c1ccccc1C2=O
3.263515086,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c([N+](=O)[O-])ccc(O)c21
2.875448337,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21
3.247280841,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
4.203132651,Nc1ccc2nc3ccc(N)cc3[n+](-c3ccccc3)c2c1
3.929660968,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
3.703971159,Nc1ccc(N)c2c1C(=O)c1cccc([N+](=O)[O-])c1C2=O
3.636811956,O=C1c2ccccc2C(=O)c2c(Cl)cccc21
3.636425205,O=[N+]([O-])c1c(O)c(Cl)cc(Cl)c1Cl
2.563867744,Cc1ncc(CO)c(C(=O)O)c1O
4.509793728,C=c1[nH]/c(=C/c2[nH]c(-c3ccc[nH]3)cc2OC)cc1CCCCC
3.864771052,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
3.232884739,O=C1c2ccccc2C(=O)C1c1ccccc1
3.041879349,CCCC(C)C1C(=O)NC(=O)NC1=O
3.48628623,Cc1c(Cl)cccc1[N+](=O)[O-]
3.850551061,Oc1c(I)cc(I)c2cccnc12
3.743791047,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13
3.665043583,c1ccc2c(c1)CCCC2C1=NCCN1
4.242093984,N#CC1=C(C#N)C(=O)C(Cl)=C(Cl)C1=O
3.12532581,O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21
2.587255609,CCCCOC(=O)c1ccccc1C(=O)OCCCC
5.055481765,Cn1ncnc2c(=O)n(C)c(=O)nc1-2
3.845440544,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
3.634302752,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
3.502802527,c1ccc2c(c1)ccc1ccccc12
2.900290238,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
2.879077951,O=C(O)c1ccccc1C(=O)c1ccc(O)cc1
2.962716506,CNc1ccccc1C(=O)OC
3.833790439,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
4.089816125,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
4.260496228,CCN(CC)C(C)C=C(c1cccs1)c1cccs1
3.286117255,N#CC(c1ccccc1)c1ccccc1
3.748744111,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21
3.488604946,NNc1nncc2ccccc12
4.532104361,CCCCc1cc2ccccc2c(OCCN(C)C)n1
2.946637821,Nc1cccc2cc(O)ccc12
3.410498149,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
3.771102211,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
3.196134716,O=C1NC(=O)C(=NO)C(=O)N1
3.578407478,CN(C)Cc1c[nH]c2ccccc12
2.490598445,O=C(O)C(O)C(O)C(=O)O
1.252841613,OCC(O)C(O)C(O)CO
1.329574138,O=C(O)c1ccsc1
3.38159169,C/C(CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1)=N\Nc1nncc2ccccc12
2.85704023,CC(=O)Nc1ccc(S(=O)(=O)O)c(N)c1
3.134157975,CC(C)c1ccccc1O
3.104760167,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
2.889602802,O=[N+]([O-])c1ccc(S(=O)(=O)O)c([N+](=O)[O-])c1
2.471678304,Cc1cc(=O)n(-c2ccccc2)[nH]1
3.336495757,O=C(O)c1cc(Br)ccc1O
3.437627266,Nc1ccc(Cl)cc1[N+](=O)[O-]
3.398579398,CCC(C)c1ccccc1O
3.176730649,Cc1ccc(C(C)C)c(O)c1
4.155663385,Oc1ccccc1[Hg]Cl
2.863459321,COc1ccccc1O
4.863138678,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
2.957500868,CCC(C(N)=O)c1ccccc1
2.710233754,CCC(C(=O)O)c1ccccc1
4.074401217,C1CCN2CC3CC(CN4CCCCC34)C2C1
3.037437565,O=c1c2ccccc2oc2ccccc12
4.705030696,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1
3.416836811,O=C(c1ccccc1)c1ccc(Br)cc1
3.107799938,c1ccc2ccccc2c1
3.022647611,NS(=O)(=O)c1cc2c(cc1Cl)NC(=CSCc1ccccc1)NS2(=O)=O
3.124740545,O=C(O)c1ccccc1Nc1ccccc1
