LOG PLASMA PROTEIN BINDING (RAT) (% unbound),canonical_smiles
0.915558115,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1
0.273695588,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1
2.0,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1
0.628286731,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
0.953856298,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1
0.650307523,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
-0.185752404,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1
2.0,COCCNC(=O)c1ccnc(C2CCNCC2)c1
0.452093249,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl
1.960042456,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1
1.861522463,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1
1.164679941,O=C1NCCSc2c1sc1ccc(O)cc21
0.426673888,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21
1.371880249,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
1.65850745,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
0.38219721,CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(OCC3CC3)nc2O1
-0.251811973,N#Cc1cc(F)c(NS(=O)(=O)c2c[nH]c3cc(Cl)ccc23)cc1F
1.54052968,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
2.0,COCCc1ccc(OCC(O)CNC(C)C)cc1
1.855513099,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
0.047274867,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
-1.292429824,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(O)c5cccc(OC)c5nc34)cc1)CC2
1.496029699,C=CCc1ccccc1OCC(O)CNC(C)C
1.850860573,Nc1nc(=O)c2ncn(COCCO)c2[nH]1
2.0,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
-0.137272472,CCCc1nc2nc(C)c(NS(=O)(=O)c3ccc(C4CCCCC4)cc3)c(O)n2n1
1.754608223,COc1ccc([C@H]2c3[nH]c4ccc(Cl)cc4c3CCN2C(=O)Oc2ccc(Cl)cc2)cc1
1.058463986,NC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(C(=O)Cc2cccc(F)c2)CC1
1.916985305,CC(=O)Nc1ccc(O)cc1
1.92695435,O=C(NC1CCNCC1)c1ccc2[nH]ncc2c1
-0.27572413,Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(OCCc3ccccn3)n2)c1
0.180412633,CCn1c(=O)oc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc21
0.232233521,COc1ccc(OC[C@@H]2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc(Cl)c2)cc1
0.312177356,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1
-0.099086932,CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1
1.70808081,O=C(NC1CCNCC1)c1ccc2cn[nH]c2c1
1.842553077,CC(C)(C)OC(=O)N1CCCC1C(=O)N1CCC(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CC1
0.77224834,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1
1.854123782,CC(=O)Nc1ncc(C(=O)O)s1
0.21031852,Cc1cccc(-c2nc(C34CCC(C(N)=O)(CC3)CC4)[nH]c2-c2ccc3c(c2)OCO3)n1
-0.823908741,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC.Cl
0.622421274,CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1
