PUBCHEM_CID,low_moderate_permeability,Phenotype,canonical_smiles
3417885,1,Low,O=S(=O)(Nc1nc2n(n1)C(c1ccccc1)C=C(c1ccc(Cl)cc1)N2)c1ccccc1
6407314,0,High,C#CCOc1ccc(-c2nnc(Nc3ccc(NC(C)=O)cc3)c3ccccc23)cc1
3571741,1,Moderate,Cc1ccc(-c2cc(C(=O)NCc3cnn(C)c3)c3cc(Br)ccc3n2)cc1
2947897,0,High,Cc1nnc(N2C(=O)c3oc4ccccc4c(=O)c3C2c2ccc(F)cc2)s1
15991372,1,Low,Cc1ccc2oc3c(c(=O)c2c1)C(c1ccc(O)cc1)N(CCCN(C)C)C3=O
2983992,1,Low,N#Cc1ccc(C(=O)Nc2ccc(Cl)c(-c3nc4cc(Cl)ccc4o3)c2)c(F)c1
2982228,0,High,Cc1ccc2nc(-c3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3Cl)oc2c1
15988552,0,High,COc1ccc(OC)c(-n2c3c(cc(-c4nc(-c5ccc(Cl)cc5)cs4)c2=O)C(=O)CC(C)(C)C3)c1
15990222,0,High,Cc1nc2sccn2c(=O)c1S(=O)(=O)Nc1ccc(N2CCN(S(C)(=O)=O)CC2)cc1
15990397,0,High,COc1cc(NC(=O)c2nc3ccccc3n(C)c2=O)cc(OC)c1OC
15990859,0,High,CCOc1ccc(/C=C/c2nc3ccccc3n2S(=O)(=O)c2ccc(Br)cc2)cc1
2151568,1,Low,COc1ccc(-c2nc3c(c(SCC(=O)Nc4ccc(C(=O)O)cc4)n2)Cc2ccccc2O3)cc1
16010509,0,High,CC(=O)N1CCc2c(sc3c2c(=O)n(-c2ccccc2)c(=O)n3CC(=O)c2ccccc2)C1
1243964,0,High,Cn1c(CN2CCCCC2)nc2cc(NC(=O)c3cccc(Br)c3)ccc21
930029,1,Low,Cc1ccc(C(=O)Nc2nc3nc(C)cc(=O)n3[nH]2)cc1
16015034,0,High,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)CC(C)C)ccc3n2C(C)C)CC1
16017615,1,Moderate,COc1cccc(C(=O)Nc2nnc(S(=O)(=O)N3CCOCC3)s2)c1
16017851,0,High,CC(=O)Nc1cccc(Nc2nc3ccccc3n3c(C)nnc23)c1
16018174,0,High,CCN(CC)CCCNC(=O)c1oc2c(c1C)-c1nn(Cc3ccc(Cl)cc3)cc1CC2
16018319,0,High,CCOc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCCCN(CC)CC)ccc23)cc1
16020562,0,High,CCN(CC)CCNC(=O)C1CCN(c2nn3cc(-c4ccc(F)cc4)nc3s2)CC1
16022683,0,High,COc1ccc(Cn2c(C(=O)O)c(CNCc3ccco3)c3ccc(C)cc32)cc1
16023553,0,High,COCCNc1ncnc2onc(-c3ccc(F)cc3)c12
16025678,1,Moderate,CC(C)(C)c1ccc(-c2nc(SCCCOc3ccccc3)n3[nH]c(=O)cc3n2)cc1
16025693,0,High,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4ccccc4C(F)(F)F)c3C)ns2)c1
16025942,0,High,Cc1c(-c2nsc(NC(=O)c3cccc(Cl)c3)n2)nnn1-c1ccccc1C(F)(F)F
135410503,1,Moderate,CC1=C(C(=O)Nc2ccccc2)C(c2ccc[nH]2)n2ncnc2N1
16029337,0,High,CCN(CCN(C)C)C(=O)C1CCN(S(=O)(=O)c2c(C)noc2/C=C/c2ccccc2F)CC1
16031361,1,Moderate,COc1ccc(CNC(=O)Cn2nc3c(cc2=O)CCCC3)cc1
4705986,0,High,COc1ccc(C2c3c(oc4ccc(Cl)cc4c3=O)C(=O)N2CCCN(C)C)cc1OC
16033099,0,High,CC(=O)c1ccc(N2CCN(c3ccc(NC(=O)c4ccc(F)cc4)cc3C(=O)O)CC2)cc1
16033131,1,Low,Cc1cccc(C(=O)Nc2ccc(N3CCC(N4CCCCC4)CC3)c(C(=O)O)c2)c1
16033135,1,Low,O=C(Nc1ccc(N2CCC(N3CCCCC3)CC2)c(C(=O)O)c1)c1ccc(Br)cc1
16033196,1,Low,CCCCNC(=O)CN1CCN(c2ncc(NC(=O)c3ccc(Cl)cc3)cc2C(=O)O)CC1
4190676,1,Moderate,CCOC(=O)N1CCc2c(sc(NCc3ccc(N(C)C)cc3)c2C(=O)Nc2ccc(OC)cc2)C1
5162647,0,High,O=C(Nc1ccc(-c2nc3cc(NC(=O)c4ccccc4Cl)ccc3o2)cc1)c1ccccc1Cl
1511198,0,High,CNS(=O)(=O)c1cc(-c2nn3c(C)nnc3c3ccccc23)ccc1C
9872740,1,Low,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O
9893924,1,Moderate,S=C(NCCCc1cnc[nH]1)NCCCN(Cc1ccc(Cl)c(Cl)c1)c1ccc(Br)cn1
5516,1,Low,CN(C)CCOc1ccc(C(=C(CCCl)c2ccccc2)c2ccccc2)cc1
7547,0,High,O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1
6165447,1,Low,NC(=O)C(=O)N/N=C/c1ccc([N+](=O)[O-])o1
71335,1,Low,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
5329102,0,High,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
9860529,0,High,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
2377964,1,Moderate,Cn1nnnc1Sc1ncnc2sccc12
2161,1,Low,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1
122077,1,Moderate,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
60196365,0,High,Cl.Cl.NC(=O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
5311,1,Moderate,O=C(CCCCCCC(=O)Nc1ccccc1)NO
11219835,0,High,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
54685047,1,Low,C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl
24871224,0,High,CC[C@H]1CN2CCC3CC(OC)C(OC)CC3[C@@H]2C[C@@H]1C[C@H]1NCCC2=C1CC(OC)=C(O)C2
25109905,0,High,N=c1c2c(ccn1CCc1ccccc1)Oc1ccc3ccccc3c1C2c1ccccc1
25181364,1,Low,Nc1c(-c2ccncc2)cc[nH]c1=O
25181365,0,High,Nc1c(-c2ccccc2)cc[nH]c1=O
25181366,0,High,CN(C)c1ccc(-c2cc[nH]c(=O)c2N)cc1
25181367,1,Moderate,CN(C)C(=O)c1ccc(-c2cc[nH]c(=O)c2N)cc1
24180125,0,High,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1
2515,1,Moderate,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
44142148,1,Moderate,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12
2921716,1,Moderate,CCC(=O)NC(c1cccs1)c1cc([N+](=O)[O-])c2cccnc2c1O
71900,1,Moderate,Cc1nc([N+](=O)[O-])cn1-c1ccc([N+](=O)[O-])cc1
9795907,1,Low,Nc1scc2c(C(=O)O)nn(-c3ccccc3)c(=O)c12
644241,0,High,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
44144342,1,Moderate,CS(=O)(=O)c1ccccc1-c1csc(N2CCC(C(N)=O)CC2)n1
44144356,1,Moderate,NC(=O)C1CCN(c2nc(-c3cccnc3)cs2)CC1
44144352,1,Moderate,Cc1noc(C)c1-c1csc(N2CCC(C(N)=O)CC2)n1
44144360,1,Moderate,NC(=O)C1CCN(c2nc(-c3cccc(N)c3)cs2)CC1
46907660,1,Low,CC(=O)Nc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1
44144364,1,Moderate,CN(C)C(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1
46907760,1,Moderate,CS(=O)(=O)c1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1
44143157,1,Moderate,CS(=O)(=O)c1cccc(-c2csc(N3CCC(C(N)=O)CC3)n2)c1
44341401,1,Low,N[C@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4C[C@@H]4F)c3c2Cl)CC12CC2
44246403,1,Moderate,CCCN1CNc2c(c(=O)[nH]c(=S)n2Cc2ccc(OC)c(OC)c2)C1
44820665,1,Low,NCC(=O)Nc1cccc(-c2nn3c(=O)cc(N4CCNCC4)nc3s2)c1
49852946,1,Low,Cc1ccc(-c2nc(NCC(=O)Nc3cccc(C(=O)O)c3)c3ccccc3n2)cc1
46907723,0,High,CN(C)C(=O)C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907697,0,High,O=C(C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1)N1CCOCC1
46907661,0,High,O=C(C1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1)N1CCNCC1
46907712,1,Moderate,NC(=O)C1CCN(c2ncc(Br)cn2)CC1
46907729,1,Moderate,NC(=O)C1CCN(c2nccc(Cl)n2)CC1
46907727,1,Moderate,NC(=O)C1CCN(c2nc(-c3ccc(N)cc3)cs2)CC1
46907680,0,High,COc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1OC
46907669,0,High,COc1cc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc(OC)c1OC
46907689,0,High,CC(C)Oc1ccc(-c2csc(N3CCC(C(N)=O)CC3)n2)cc1
46907737,0,High,CC(=O)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907724,0,High,NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907754,0,High,Brc1ccc(-c2csc(N3CCC(c4nn[nH]n4)CC3)n2)cc1
46907674,0,High,CC(=O)NC1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907688,1,Low,O=C(c1ccco1)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907709,0,High,O=C(c1ccccc1)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
46907747,0,High,NC(=O)N1CCN(c2nc(-c3ccc(Br)cc3)cs2)CC1
135422895,0,High,CN=C1CN=C(c2ccc[nH]2)c2cc(Cl)ccc2N1
9967941,0,High,Cc1cccc(-c2[nH]c(C(C)(C)C)nc2-c2ccc3nccnc3c2)n1
44246499,0,High,Cn1c2cc(S(C)=O)sc2c2cnn(Cc3cccc(N)c3)c(=O)c21
1005314,1,Low,O=C(O)c1cccc(-n2cccc2/C=C2/NC(=O)N(c3cccc(Cl)c3)C2=O)c1
20969430,0,High,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1
49853075,0,High,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)c1
46907657,0,High,NC(=O)C1CCN(c2ncc(-c3cccc(N4CCOCC4)c3)s2)CC1
46907671,1,Moderate,NC(=O)C1CCN(c2cc(-c3ccc4c(c3)OCCCO4)ncn2)CC1
46907666,1,Moderate,O=C(O)C1CCN(c2ncc(-c3ccc4c(c3)OCCCO4)s2)CC1
46907678,0,High,COc1ccc(-c2cnc(N3CCC(C(N)=O)CC3)s2)cc1OC
23729147,0,High,Nc1nc(N)c2c(OCC3CCN(Cc4ccccc4F)CC3)cccc2n1
46907746,1,Moderate,NC(=O)C1CCN(c2nnc(-c3ccc4c(c3)OCCCO4)s2)CC1
11551001,0,High,Cc1csc2c1c(=O)n(O)c(=O)n2Cc1ccccc1
24978538,1,Low,CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1
49853131,0,High,Cc1ccnc(NC(=S)N2CCN(c3ccc(N)cc3)CC2)c1
701529,0,High,S=c1[nH]c2ccccc2n1CCc1ccccc1
107970,1,Low,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
44968250,0,High,CCOC(=O)c1ccc(-c2ccc3ncnc(NCCc4cnc[nH]4)c3c2)o1
39886486,0,High,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4c(c3)n(C)c(=O)n4C)CC2)cc1
44825300,1,Moderate,CC(=O)c1ccc(N2CCN(C(=O)c3ccc4c(c3)CC(=O)N4)CC2)cc1
44825303,1,Low,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3ccc4[nH]c(=O)[nH]c4c3)CC2)cc1
10127622,0,High,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
49787080,0,High,CN(C)[C@@H]1CCN(c2cccc(Nc3nn4c(=O)c5ccccc5nc4s3)c2)C1
49852229,1,Moderate,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1
46916190,0,High,CCNC(=O)c1ccc(-c2ccc3ncnc(NCC4CCCO4)c3c2)o1
46926057,0,High,CC1=C(C(=O)Nc2nncs2)C(c2ccccc2Br)N=C(Nc2nc3ccccc3o2)N1
46916310,0,High,O=C(NC1CCCc2c1cnn2-c1ccc(F)cc1F)c1ccccc1
46916317,0,High,CN(C)CC(=O)NC1CCCc2c1cnn2-c1ccc(F)cc1F
49853209,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1
49852856,0,High,FC(F)(F)c1ccc(N2CCN(C(=S)Nc3ccccn3)CC2)cc1
46926073,1,Low,CC1=C(C(=O)Nc2nncs2)C2(CCCC2)N=C(Nc2nc3ccccc3o2)N1
46926078,0,High,CC1=C(C(=O)Nc2nncs2)C(c2nn(C)cc2Cl)N=C(Nc2nc3ccccc3o2)N1
46926080,1,Moderate,CC1=C(C(=O)Nc2nncs2)C(c2[nH]ncc2Cl)N=C(Nc2nc3ccccc3o2)N1
42376812,1,Low,COc1cc(=O)n2c(c1C(=O)N(C)Cc1cscn1)CCN(C(=O)c1ccc(C)cc1C)CC2
53398697,1,Low,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C
3038525,0,High,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
9563318,1,Moderate,O=C(N/N=C/c1ccc(Sc2ccccn2)o1)c1ccncc1
46947865,1,Low,O=C(NC1CCCc2c1cnn2-c1ccc(F)cc1F)c1ccc(C2(C(F)(F)F)N=N2)cc1
9803963,0,High,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O
49853203,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3ccncc3)CC2)c1
49853134,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(F)cc3F)CC2)c1
49853005,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3cc(C(F)(F)F)nc4ccccc34)CC2)c1
24889392,1,Low,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1
50898225,0,High,O=C(NC1CCCc2c1cnn2-c1ccc(O)cc1)c1ccccn1
46902231,1,Low,CC(=O)Nc1ccc(OCc2cn(CC(=O)c3ccc(O)cc3)nn2)cc1
53255427,1,Moderate,Cc1cc(NS(=O)(=O)c2ccc(N(C)C(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1
53255440,1,Moderate,Cc1cc(NS(=O)(=O)c2ccc(C(=O)NCc3ccc(Cl)c(Cl)c3)cc2)no1
53257132,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3cc(C(F)(F)F)nc4ccc(C(F)(F)F)cc34)CC2)c1
53257190,0,High,Cc1ccnc(NC(=S)N2CCN(c3ccc(Cl)cc3Cl)CC2)c1
53257196,0,High,Cc1ccnc(NC(=S)N2CCN(c3ccc(C(F)(F)F)cc3[N+](=O)[O-])CC2)c1
53257155,0,High,Cc1ccnc(NC(=S)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c1
53257119,0,High,COc1ccnc(NC(=S)N2CCN(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)c1
53257126,0,High,COc1ccnc(NC(=S)N2CCN(c3ncc(C(F)(F)F)cc3Cl)CC2)c1
53257116,0,High,Cc1cc(C)nc(NC(=S)N2CCN(c3ccc(Cl)cc3F)CC2)c1
14096316,1,Low,C[C@@]12O[C@@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O
56593314,1,Low,COc1ccccc1C(=O)Nc1ccccc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1
53255421,1,Low,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccon2)cc1
53255430,1,Moderate,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(F)c3)cc2)no1
53255396,1,Low,Cc1cc(N[S+](=O)([O-])c2ccc(NC(=O)Cc3ccc(F)c(F)c3)cc2)no1
53255428,1,Moderate,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(F)c(Cl)c3)cc2)no1
2964643,0,High,CCCCC1CCC(C(=O)Nc2ccc(S(=O)(=O)Nc3nccs3)cc2)CC1
77623,0,High,C1CCc2nc3c(nc2C1)CCCC3
53277,1,Low,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C
244989,1,Low,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1C2N1C
72512,0,High,COc1ccc2[nH]c3c(C)c4ccncc4c(C)c3c2c1
3430748,1,Low,COc1ccc2c3c([nH]c2c1)C1CC2C(CC(O)C(OC)C2CO)CN1CC3
257275,1,Moderate,C=C1C(=O)OC2C1CCC(C)C1(O)C=CC(=O)C21C
70346,1,Low,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O
135454041,1,Low,O=c1[nH]cnc2c1ccn2C1OC(CO)C(O)C1O
67183,1,Low,CC(=O)Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
127030712,0,High,O=C(O)c1ccc(O)c2ncc(N3CCCN(CCc4cccc5ccccc45)CC3)cc12
4887233,0,High,COc1cc(-c2c(C#N)c(N)nc3c2c(C)nn3-c2ccc(F)cc2)ccc1O
53255392,1,Low,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1
53255407,1,Low,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2cncnc2)cc1
136141526,1,Moderate,COc1cc(-c2ccnc3c2c(C)nn3-c2cccc(C(F)(F)F)c2)ccc1O
44449050,0,High,Clc1ccc2ncc(-c3cccc(NC4CCNCC4)n3)n2c1
24808465,0,High,CCN1CCN(c2ccc(Nc3ccc(-c4ccc(C(N)=O)cc4)n4ncnc34)cc2)CC1
9911830,0,High,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC
16747388,0,High,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C
56593345,1,Moderate,CCOc1ccccc1C(=O)Nc1ccncc1C(=O)Nc1cccc(S(=O)(=O)C(F)(F)F)c1
