rat_intraperitoneal_LD50_(?log(mol/kg)),canonical_smiles
2.357353494,CCOP(=O)(OCC)OCC
1.161010436,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
2.762318378,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
3.175431734,CCCCSP(=O)(SCCCC)SCCCC
5.652160892,CCOP(=O)(OCC)SCCN(CC)CC
3.817464882,CC(C)(C#N)N=NC(C)(C)C#N
2.701095244,C=CC(C)(O)CCC=C(C)C
2.012620492,CC(C)CO
2.011635792,CC(Cl)CCl
1.793312545,CCC(C)O
2.074788736,CCC(C)=O
3.063169107,CC(=O)CCl
2.701926233,ClCC(Cl)Cl
2.010670982,ClC=C(Cl)Cl
2.8974988,C=CC(N)=O
3.443882296,O=C(O)CBr
3.515289657,C=CC(=O)O
1.424554977,CNC(C)=O
2.703673046,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1
2.5664253,CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
3.102732892,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2.796357479,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
1.69495058,O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O
3.204671073,CC(C)(OO)c1ccccc1
3.549157335,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
1.877309752,C=C(C)C(=O)OC
3.649749408,C=C(Cl)C(=O)OC
2.869138125,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
2.25741936,O=C(Nc1ccc(Cl)c2c1C(=O)c1ccccc1C2=O)c1ccccc1
2.00899001,Nc1c(O)cc(O)c2c1C(=O)c1ccccc1C2=O
2.092484586,O=C1c2c(O)ccc(O)c2C(=O)c2c(O)ccc(O)c21
2.05837902,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21
2.996023254,O=C1OC(=O)c2cccc3cccc1c23
3.597741206,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1
2.109974866,O=C1c2ccccc2-c2ccc(Br)c3cccc1c23
1.898700561,O=C1c2cc(Br)ccc2-c2ccc(Br)c3cccc1c23
3.570284354,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
2.186138558,O=C1c2ccccc2-c2cccc3cccc1c23
2.3822967,O=C1c2ccccc2C(=O)c2c1cccc2[N+](=O)[O-]
1.978977865,O=C1c2cccc([N+](=O)[O-])c2C(=O)c2cccc([N+](=O)[O-])c21
2.172663246,Nc1cccc2c1C(=O)c1ccccc1C2=O
1.771346384,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
2.228838624,Cc1c(N)c(=O)n(-c2ccccc2)n1C
3.06807449,O=C1c2ccccc2C(=O)C1c1ccccc1
2.409966919,c1cc2c3c(cccc3c1)CC2
3.330611071,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13
5.391842249,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
2.827425818,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
3.130931718,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
3.215288594,c1ccc2c(c1)CCCC2C1=NCCN1
3.367580056,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC
1.985343887,CC(=O)Nc1cc2c(cc1Cl)C(=O)c1ccccc1C2=O
2.030862728,Nc1cc(Cl)cc2c1C(=O)c1ccccc1C2=O
1.997227973,Oc1c(Br)ccc2c(O)c(Br)ccc12
1.774446055,O=C1c2ccccc2C(=O)c2ccccc21
1.889404816,Nc1cccc2c(S(=O)(=O)O)cccc12
3.053728758,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
3.175094133,Nc1nc(=S)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1
3.712060142,CCN(CC)CCOC(c1ccccc1)c1ccccc1
2.514237394,CCN1C(=O)NC(c2ccccc2)C1=O
4.811317789,COP(=S)(OC)SCn1nnc2ccccc2c1=O
3.806668281,NNc1nncc2ccccc12
3.781981835,CCCCc1cc2ccccc2c(OCCN(C)C)n1
3.270003,O=C(O)Cc1cccc2ccccc12
4.913260286,NC(=S)Nc1cccc2ccccc12
2.13073035,O=c1[nH]c(=O)c2ccccc2[nH]1
3.252361205,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
2.262859793,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O
2.5470874,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
2.587037118,Clc1ncnc2nc[nH]c12
2.521655251,O=C1Nc2ccc(Br)cc2C1=O
4.227791612,O=CC(Cl)=C(Cl)C(=O)O
2.62113099,Oc1c(Cl)cccc1Cl
3.173206255,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
2.478239638,O=C(O)C(O)C(O)C(=O)O
1.148438761,O=C(CO)C(O)C(O)C(O)CO
3.677245107,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1.778527476,OC1C(O)C(O)C(O)C(O)C1O
2.602092113,Cc1cc(C)c(N)c(C)c1
2.854543657,Oc1c(Cl)cc(Cl)cc1Cl
1.566509378,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
3.311930368,CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C
2.531970413,NC(=O)c1ccccc1N
2.219079065,O=[N+]([O-])c1ccccc1O
1.612783857,NC(=O)c1ccccc1C(N)=O
2.185080135,Nc1ccc(O)c(C(=O)O)c1
2.93593782,Nc1ccc(Cl)cc1[N+](=O)[O-]
5.406928884,O=C(NO)c1ccccc1O
2.760943927,Oc1cccc2ccccc12
2.821368922,O=c1nn[nH]c2ccccc12
3.74668423,C1CCN2CC3CC(CN4CCCCC34)C2C1
1.569485246,O=C(O)C(O)c1ccccc1
3.315272694,N#Cc1ccccc1C#N
1.27896913,O=C1Nc2ccccc2C1=O
2.55062722,CCN(CC)c1ccccc1
3.832199553,NC(=O)Nc1ccc([As](Sc2ccccc2C(=O)O)Sc2ccccc2C(=O)O)cc1
2.527146366,COc1ccccc1NC(=O)CC(=O)c1ccccc1
3.09953771,Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N
2.908999433,O=C1CCN(c2ccccc2)N1
2.963036604,CCN(CCCl)c1ccccc1
3.064019194,c1ccc(N2CCNCC2)cc1
2.317478314,COc1ccc(OC)c(C=O)c1
2.29714309,COc1ccccc1OCC(O)CO
3.011820421,S=c1sc2nc3ccccc3nc2s1
2.67865179,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
3.923888306,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
2.65293397,C[n+]1ccccc1C=NO
2.336684145,CC=C(CC)C(=O)NC(N)=O
3.053250078,O=c1[nH]c2cc(Cl)ccc2o1
2.243049866,Clc1ccccc1Cl
2.853925235,Cc1ccccc1N
2.446478579,Nc1ccccc1N
2.747371271,Oc1ccccc1Cl
2.785923914,Cc1ccc(O)cc1C
2.402878293,Cc1cc(Cl)ccc1N
3.396772049,Cc1cc(N)ccc1N
2.762407916,Nc1ccc(Cl)c(Cl)c1
2.575084768,Cc1ccc(N)cc1N
2.607505956,Nc1cc(Cl)ccc1Cl
2.745224386,Oc1cc(Cl)c(Cl)cc1Cl
2.416969558,c1ccc(C2CO2)cc1
1.012610682,O=C(CO)CO
2.443010102,OCC(O)CS
2.423069347,C=CC(=O)OC
1.934952708,O=C1CCCO1
6.269262703,CC(OP(C)(=O)F)C(C)(C)C
2.574742319,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
2.945758759,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O
2.859380649,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
1.970026631,C=C(C)C(=O)OCC
2.735651007,CN(C)C(=S)SC(=S)N(C)C
3.077649177,CCN(CC)C(=S)SSC(=S)N(CC)CC
1.790411013,C=C(C)C(=O)OCCCC
1.849985058,C=C(C)C(=O)OCCOC(=O)C(=C)C
3.635191355,CCB(CC)CC
2.10626316,CCC(CC)CO
2.407106098,OCC1CCCO1
2.178760078,OCc1ccco1
3.681625599,O=Cc1ccco1
3.366236124,O=S(=O)(Cl)c1ccccc1
2.824548131,CC(C)(C)c1ccc(O)cc1
2.596411715,O=C(S)c1ccccc1
2.284116885,O=[N+]([O-])c1ccccc1
2.681243499,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
1.980971496,Nc1ccc([N+](=O)[O-])cc1N
2.796937983,Nc1cc([N+](=O)[O-])ccc1O
3.77843035,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
2.566372824,CCOC(=O)CCCCCCCCC(C)c1ccc(I)cc1
2.715894114,CC(=O)c1ccc(N)cc1
2.192506213,Cc1ccc(C(=O)O)cc1
2.608783941,O=C(O)c1ccc(O)cc1
2.164029958,Cc1ccc([N+](=O)[O-])cc1
2.574185656,O=[N+]([O-])c1ccc(Cl)cc1
2.381356757,CN(C)c1ccc(C=O)cc1
2.038952099,COc1ccc([N+](=O)[O-])cc1
3.477400354,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
3.215161508,O=C=Nc1ccc([N+](=O)[O-])cc1
1.90092346,CCOc1ccc([N+](=O)[O-])cc1
