mouse_subcutaneous_LD50_(?log(mol/kg)),canonical_smiles
0.814768576,NC(N)=O
2.792161418,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.059331477,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.215441943,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.186788894,CC1CN1P(=O)(N1CC1C)N1CC1C
3.080144434,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
5.570656516,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
3.731377632,CCOC(=O)N(c1ccccc1)C(C)CN1CCC(O)(c2ccccc2)CC1
2.622956878,CCCC(C)(COC(N)=O)COC(N)=O
0.641556303,CC(O)CO
1.994771597,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.443151108,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
1.838212919,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
2.897099867,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
6.002646536,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
2.894034447,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3.525850168,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
2.969722074,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
1.781695072,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
3.096111184,CC1=CC(=O)c2ccccc2C1=O
3.095100884,CNCCCN1c2ccccc2CCc2ccccc21
2.271614465,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3.028748977,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
3.122093949,CN(C)CCCN1c2ccccc2Sc2ccccc21
2.89958661,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
3.205182875,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1.839182936,Cc1ncc(CO)c(CO)c1O
1.729535726,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
1.814123201,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.327430231,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
2.306527142,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2.599433244,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
3.259543232,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1.943211772,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.949962995,CCN(CC)C(=O)c1cccnc1
3.257993384,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
2.805748799,Cc1ccccc1OCC(O)CO
2.597771339,Cc1cc(O)ccc1Cl
3.187999872,Cc1cc(C(=O)NNCc2ccccc2)no1
2.420172799,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
3.461445643,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
2.963067903,NCCS
3.26171647,C[N+](C)(C)CCCCCC[N+](C)(C)C
2.947900563,CC(=O)OCC[N+](C)(C)C
1.355172509,NCCCCCC(=O)O
0.852274174,CC(N)=O
2.988060551,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1
3.582182721,CNC(=O)CSP(=S)(OC)OC
3.045753148,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
2.519744318,Cn1cc[nH]c1=S
4.959162278,Cc1c(C(C)C2NCC(C)CC2O)ccc2c1CC1C2CC=C2CC(O)CCC21C
2.274688842,Cc1cc(=O)n(-c2ccccc2)n1C
3.087775468,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
2.616952783,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
3.012995251,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
3.399893276,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
4.106050786,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
3.847698076,COc1ccc(OC)c(C(O)C(C)N)c1
4.448113462,CC(=O)O[Hg]c1ccccc1
2.042530684,CCOc1ccc(NC(C)=O)cc1
3.250520296,CC(=O)OC(C)C[N+](C)(C)C
2.966167249,CCCCCCC(=O)OC12C=CC(=O)C3Oc4c(OC)ccc5c4C31CCN(C)C2C5
5.081936315,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O
3.964133866,COP(=O)(OC)OC=C(Cl)Cl
2.369183485,CNC(=O)Oc1cccc2ccccc12
3.261041516,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1
1.796619806,Nc1ccc(S(N)(=O)=O)cc1
2.466993135,NCCc1ccccc1
3.629808466,Cc1ccc(CC(C)N)cc1
3.138921324,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
3.040955565,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.759519558,CCC1(C)CC(=O)NC(=O)C1
2.504658332,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5.522273569,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
3.118589168,CCn1cnc(C(=O)NC)c1C(=O)NC
2.498866885,Cc1ncc(CO)c(C=O)c1O
4.493430846,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.660036557,NC(=O)c1ccccc1O
1.660471124,Nc1ccc(C(=O)O)c(O)c1
3.23722296,CC(CNN)c1ccccc1
5.848512602,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
2.859521898,CC[N+](CC)(CC)CC
3.827755572,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
3.245130024,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
2.486923845,COc1ccc2[nH]cc(CCN)c2c1
2.963167189,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
2.22935164,ClC(Cl)Cl
0.746723139,CS(C)=O
3.354582829,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
5.211898633,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
4.115808811,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3
1.210675157,CN(C)C=O
2.212817145,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
3.654417912,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
3.249656194,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
3.494827785,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1
3.173841588,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
1.817916266,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.399900169,O=C(O)c1ccccc1O
1.601166632,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
0.947815788,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
1.373336888,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
1.788632125,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
3.936707634,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
2.587357132,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
5.123524981,CCC(=O)c1ccc(O)cc1
1.190771374,NC(Cc1cnc[nH]1)C(=O)O
1.106747708,CCCO
1.36480301,CCCCO
0.921052125,CC(Cl)(Cl)Cl
2.411094195,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
5.029190457,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC
4.537671507,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.453636957,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
3.153351636,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
3.269672672,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
1.769927304,CC(O)C(=O)O
2.094033469,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
3.514450247,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O
2.161897444,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
3.075469705,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.072076462,CCC(CO)NCCNC(CC)CO
2.274838788,O=S(=O)(O)CC(S)CS
2.142587128,BrC(Br)Br
2.79585906,IC(I)I
3.268033593,C[N+](C)(C)C
1.623003022,CCC(C)(C)O
3.517419848,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
2.869409402,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314
3.268278662,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
3.135846365,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
2.874033012,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
2.244461726,O=C(O)C(O)(c1ccccc1)c1ccccc1
2.778632843,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
2.232030977,CCC1(CC)C(=O)C=CNC1=O
1.830937504,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
3.284265494,CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C
1.89206384,CCC1(C)CC(=O)NC1=O
1.660496184,CC1(C)NC(=O)NC1=O
1.967960462,CCC(C)(O)CC
2.538549839,C#CC(C)(O)CC
3.868339473,C=CS(=O)(=O)C=C
5.811920695,CCOP(=O)(C#N)N(C)C
1.28367881,O=C(O)C1(O)CC(O)C(O)C(O)C1
4.395193486,CC[Pb](CC)(CC)CC
6.151558542,CCOP(=O)(OCC)SCCN(CC)CC
2.020916284,C=CC(C)(O)CCC=C(C)C
2.76914625,ClCC(Cl)Cl
0.914439025,ClC=C(Cl)Cl
1.656315214,C=CC(=O)O
1.886115722,NN=C(N)N
3.744675081,NNC(N)=S
2.180381585,ClC(Cl)C(Cl)Cl
1.942973842,CC(C)(CO)C(O)C(=O)NCCC(=O)O
3.540834685,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C
2.777932835,CC(C)(O)C(C)(O)c1ccc(Cl)cc1
1.863857962,Nc1ccc(S(=O)(=O)c2ccc(NCCO)cc2)cc1
2.997048954,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2.492198598,CC(C)(OO)c1ccccc1
2.102916013,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
3.349027835,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
3.327086863,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C
1.225698997,C=C(C)C(=O)OC
2.929483978,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
2.204821073,CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3.391686723,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1
1.864897739,Cc1ncc(CO)c(C(=O)O)c1O
3.200700055,O=C1c2ccccc2C(=O)C1c1ccccc1
3.02835474,CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21
1.954840459,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
2.906365112,c1ccc2c(c1)CCCC2C1=NCCN1
3.346340413,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC
2.997757604,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
2.782661985,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
3.709604883,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
3.553466775,CCN(CC)C(C)C=C(c1cccs1)c1cccs1
2.284811546,CCN1C(=O)NC(c2ccccc2)C1=O
4.204676066,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21
3.02851703,NNc1nncc2ccccc12
2.404899025,O=C(O)Cc1cccc2ccccc12
2.184609421,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
3.968165284,CC(=O)NC1C(=O)N(C)C2CSSC12
2.351972903,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
2.47813399,Clc1ncnc2nc[nH]c12
2.347936538,Oc1cccc(O)c1O
1.865859292,O=C(O)C(O)C(O)C(=O)O
0.919809449,OCC(O)C(O)C(O)CO
2.401577582,Cc1cc(=O)n(-c2ccccc2)[nH]1
1.875451835,Cc1cc(O)c(C(C)C)cc1Cl
1.849777126,CC1CCC(C(C)C)C(=O)C1
2.030231873,CC1=CC(=O)C(C(C)C)CC1
2.791124375,Cc1ccc(C(C)C)c(O)c1
3.96108872,Oc1ccccc1[Hg]Cl
3.465198669,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
2.312293745,CCC(C(=O)O)c1ccccc1
3.355394297,C1CCN2CC3CC(CN4CCCCC34)C2C1
3.385241975,Nc1c2ccccc2nc2ccccc12
3.773121274,CN1C(CC(=O)c2ccccc2)CCCC1CC(O)c1ccccc1
3.444906552,N#Cc1ccccc1C#N
2.121476161,c1ccc2ccccc2c1
3.045646818,COc1ccc(Nc2cc(Cl)ccc2C(=O)O)cc1
2.566916504,Cc1ccc(C(C)C)c(OCCN(C)C)c1
2.780968596,O=c1ccc2ccccc2o1
3.542234351,CN(C)CCN(Cc1cccs1)c1ccccn1
2.928150688,Cc1cc2cc3cc(C)c(N)cc3nc2cc1N
2.801466077,Cc1ccc2oc(=O)ccc2c1
2.662006608,CCN(CCCl)c1ccccc1
3.108228799,Nc1ccc2cc3ccc(N)cc3nc2c1
4.698342636,c1ccc2c(c1)Cc1ccccc1N2
2.421751718,c1ccc2c(c1)Cc1ccccc1O2
2.394053103,COc1ccccc1OCC(O)CO
2.289059935,CCC(O)c1ccccc1
1.775498796,CCC(=O)c1ccccc1
2.047165793,CNCC(O)c1ccc(O)cc1
2.201418547,C=CCc1ccc2c(c1)OCO2
3.154337227,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
2.991105773,C[n+]1ccccc1C=NO
2.998892415,O=c1[nH]c2cc(Cl)ccc2o1
2.380789915,Nc1ccccc1N
1.674427548,CCOC(=O)C(C)O
2.057127509,CCN(CC)C(=S)SSC(=S)N(CC)CC
2.907108633,O=Cc1ccco1
3.204815574,C[N+](C)(C)c1ccccc1
2.054694711,CC1=CCC(C(C)(C)O)CC1
2.689013901,CC(O)c1ccccc1
1.785781693,NC(=O)c1cccnc1
1.61711606,NC(=O)c1cnccn1
2.45547933,Nc1cc([N+](=O)[O-])ccc1O
2.103087856,COC(=O)c1ccc(O)cc1
2.119073559,O=C(O)c1ccc(O)cc1
2.580209111,COc1ccc(C(=O)O)cc1
1.285954842,O=C(O)c1ccc(C(=O)O)cc1
2.112256015,CCN(CC)CCO
3.045518563,CCN(CC)CCS
3.084612422,NNc1ccccc1
2.814278576,C1N2CN3CN1CN(C2)C3
3.123793327,O=NN1CN2CN(C1)CN(N=O)C2
2.290617733,OCCN(CCO)Cc1ccccc1
3.227341679,CNC(C)CC1CCCCC1
2.052378396,c1ccc(Cc2ccccn2)cc1
1.977136862,CC(=O)OCC(COC(C)=O)OC(C)=O
1.929867586,O=C=Nc1ccccc1
2.733007772,S=C=Nc1ccccc1
1.957926387,O=C(O)Cc1ccccc1
2.688089555,CC(=O)Nc1ccc(O)cc1
2.373463722,CC(=O)Nc1ccc(C=NNC(N)=S)cc1
1.869234555,NCC(O)c1ccc(O)cc1
2.34720037,OCC(O)COc1ccc(Cl)cc1
3.780857144,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
2.615094369,CCc1ccc(C)nc1
2.690376851,CCOC(=O)CCl
1.879808207,CCOC(=O)NC
2.178631675,O=C1CCCCCN1
2.249390161,CC(C)=CCCC(C)CCO
2.150807121,CC(C)=CCCC(C)=CCO
1.455943773,Clc1ccc(Cl)cc1
3.061606785,O=C1C=CC(=O)C=C1
1.659695671,CN1CCN(C)CC1
1.583461118,CC(=O)OCC(O)CO
1.36424361,OCCCCC(O)CO
3.271562825,C=CC=O
2.914645328,OCCCl
3.326859976,C=CC#N
1.805746618,NCCN
1.319276133,NCCS(=O)(=O)O
1.104198909,C[N+](C)(C)CC(=O)O
6.368268285,CC(C)OP(C)(=O)F
5.763710942,CCOP(=O)(OCC)OP(=O)(OCC)OCC
1.442578365,CCCC(=O)O
1.976759075,CN(C)CCN
1.770412713,CN(C)CCO
0.810321863,CC1COC(=O)O1
3.017290551,Nc1cccc(N)c1
2.713455048,Oc1cccc(O)c1
2.104679315,Oc1cc(O)cc(O)c1
1.894897318,Brc1ccccc1
1.612270403,Cc1ccccc1
1.935713127,NC1CCCCC1
1.45407164,CCCCC(=O)O
1.619948757,CNCCO
3.04133443,c1cc[nH]c1
0.731394509,CCCCCCCCCCCCCC(=O)OC(C)C
1.599464967,CC=CC=CC(=O)O
3.017942735,CCCCCS
1.801277451,c1ccncc1
2.002273174,C1COCCN1
2.229655816,O=CCCCC=O
1.341782886,OCCNCCO
1.484972119,OCCSCCO
1.234586696,OCCOCCOCCO
2.779960055,C#CC(O)(C=CCl)CC
3.110661339,COC(=O)C(c1ccccc1)C1CCCCN1
4.263750238,CNC(=O)Oc1ccccc1OC(C)C
2.274824465,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
5.766513966,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
3.197404097,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1
3.539397308,N#[N+][CH-]C(=O)OCC(N)C(=O)O
1.709865334,C=CC(C)(C)O
1.860056719,C#CC(C)(C)O
5.18787309,CN(C)P(=O)(F)N(C)C
2.879967726,OC(c1ccccc1)(c1ccccc1)C1CCNCC1
4.83377119,COC1=CC2C3Cc4ccc(OC)c(O)c4C2(CCN3C)CC1=O
3.116182222,CCCCSCC1(CC)C(=O)NC(=S)NC1=O
5.162238147,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
5.881425744,CNC(=O)ON=CC(C)(C)SC
2.724783615,O=C(O)C(c1ccccc1)c1ccccc1
3.493577332,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
0.985051169,CCCCCCc1cc(O)c2c(c1)OC(C)(C)C1=C2CC(C)CC1
2.186939117,Cc1occc(=O)c1O
