rat_intravenous_LD50_(?log(mol/kg)),canonical_smiles
5.136202486,CS(=O)(=O)OCCCCOS(C)(=O)=O
3.146831825,N=C(N)SCCN
1.314377112,NCCCC(=O)O
4.884504704,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.460475712,NCC(=O)O
3.855353401,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
3.057464502,c1ccc2cc3c(ccc4ccccc43)cc2c1
3.911508771,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
3.276383858,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1.218688134,OCC(O)CO
3.50748443,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1
3.810708966,CCCCCCCCCCCCCCCC[N+](C)(C)C
1.054280533,NC(N)=O
2.634832042,CN(C)N
3.13918367,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.246322964,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.42258883,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
4.749092864,CC[Sn](CC)(CC)OS(=O)(=O)O[Sn](CC)(CC)CC
2.794892178,CCCC(C)(COC(N)=O)COC(N)=O
1.073618199,CC(O)CO
3.64429023,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
6.965602888,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.419388142,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
3.676436174,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
3.267046508,Cn1c(=O)c2c(ncn2C)n(C)c1=O
4.018692657,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
3.372947679,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
4.054938858,CNCCCN1c2ccccc2CCc2ccccc21
3.412943618,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
4.271787026,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
4.091917681,CN(C)CCCN1c2ccccc2Sc2ccccc21
2.441880151,Cc1ncc(CO)c(CO)c1O
2.127475735,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
1.866402021,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
4.318259503,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
2.478209283,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
3.169863919,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
3.188964493,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
4.511355205,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
2.121791832,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.969959623,CCN(CC)C(=O)c1cccnc1
2.93485839,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
3.950230006,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
3.136742018,Cc1ccccc1OCC(O)CO
3.073680951,O=NN1CCOCC1
3.275297802,c1ccc(CC2=NCCN2)cc1
3.755460707,C[N+](C)(C)CCCCCC[N+](C)(C)C
3.822554396,CC(=O)OCC[N+](C)(C)C
1.599337133,NCCCCCC(=O)O
0.674442253,CC(N)=O
2.707121457,CNC(=O)CSP(=S)(OC)OC
3.538913299,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
4.626583285,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
4.039320461,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
4.190984051,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
3.819886731,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
3.333321301,Cc1cccc(Nc2ccccc2C(=O)O)c1C
2.357031795,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
3.90373281,CC(=O)OC(C)C[N+](C)(C)C
4.048409431,CNC(=O)Oc1cccc2ccccc12
2.089927809,Nc1ccc(S(N)(=O)=O)cc1
4.787799959,CNC(=O)Oc1cccc(C(C)C)c1
4.097528639,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
3.247428523,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.986763339,CCC1(C)CC(=O)NC(=O)C1
2.58683476,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5.397334832,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
2.717992776,Cc1ncc(CO)c(C=O)c1O
5.000704518,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.798883364,COS(C)(=O)=O
5.759367959,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
3.341030115,CC[N+](CC)(CC)CC
3.810722232,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
5.148220011,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
3.351956724,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
6.396681629,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
1.742216671,CC(C)O
1.023663918,CC(C)=O
1.163686385,CS(C)=O
1.562857675,CN(C)C=O
2.45394868,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
5.665121127,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1
2.154412257,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
4.139625077,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
4.106894798,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
1.750946127,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
1.687027494,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
1.349711662,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
2.002353778,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
5.22811624,O=C1CCCN1CC#CCN1CCCC1
3.264504971,CN(N=O)C(N)=N[N+](=O)[O-]
1.327983075,CCS(=O)CC
4.734433898,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
3.231529236,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
1.889741378,NC(Cc1cnc[nH]1)C(=O)O
2.007993555,CCCO
2.378591294,CCCCO
2.652966245,CCCCCO
5.292568442,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.94999467,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
3.999087023,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
1.954618735,CC(O)C(=O)O
3.62418882,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
2.814567428,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
4.081106085,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.271458985,O=C(O)c1ccc(Cl)cc1
2.833176872,CCC(CO)NCCNC(CC)CO
4.318643586,C[N+](C)(C)C
3.482581272,C[Pb](C)(C)C
3.541725136,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
3.744945783,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
4.189621728,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
3.885768513,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1
4.28190824,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
2.744498184,CCC(Br)(CC)C(=O)NC(N)=O
3.99327821,C=CS(=O)(=O)C=C
6.390316768,CCOP(=O)(C#N)N(C)C
1.828000724,NC(CO)(CO)CO
4.351441978,CC[Pb](CC)(CC)CC
2.533261594,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
2.762318378,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
2.338474071,CC(C)CO
2.730073902,CCC(C)O
4.383789942,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
3.697569222,CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(N(CC)CC)cc3[o+]c2c1
3.878823952,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
1.951083887,Cc1ncc(CO)c(C(=O)O)c1O
3.870411557,CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1
3.663254154,CC(C)(C)C(O)=C1C(=O)c2ccccc2C1=O
6.294932236,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
3.876643841,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
3.75758038,c1ccc2c(c1)CCCC2C1=NCCN1
4.124976084,CCOC(=O)Oc1c(OC)cc(C(=O)OC2CC3CN4CCc5c([nH]c6cc(OC)ccc56)C4CC3C(C(=O)OC)C2OC)cc1OC
3.930810815,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
3.627760025,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
3.833790439,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
4.626452606,COP(=S)(OC)SCn1nnc2ccccc2c1=O
3.673129372,NNc1nncc2ccccc12
2.295360782,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O
3.771102211,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12
2.380587467,OC1C(O)C(O)C(O)C(O)C1O
1.148836784,OCC(O)C(O)C(O)CO
2.441026271,Cc1cc(=O)n(-c2ccccc2)[nH]1
4.863138678,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1
3.887059937,C1CCN2CC3CC(CN4CCCCC34)C2C1
3.010119017,NS(=O)(=O)c1cc2c(cc1Cl)NC(=CSCc1ccccc1)NS2(=O)=O
3.867915105,NC(=O)Nc1ccc([As](Sc2ccccc2C(=O)O)Sc2ccccc2C(=O)O)cc1
3.970627736,Cc1cc2nc3ccc(=[N+](C)C)cc-3sc2cc1N
2.740840589,COc1ccccc1OCC(O)CO
1.678099249,Nc1ccc(C(=O)NCC(=O)O)cc1
2.339934317,CCc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
2.671227772,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
3.065579653,C[n+]1ccccc1C=NO
2.244758752,Nc1nccs1
6.612128767,CC(OP(C)(=O)F)C(C)(C)C
3.272437849,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O
4.199508349,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
3.45393495,Oc1cccc(C(F)(F)F)c1
2.949953248,CC(C)(C)c1ccc(C(=O)O)cc1
1.696248729,Nc1cccc(C(=O)O)c1
2.347351702,C=CCC(CC=C)C(=O)O
3.309710496,OCc1ccccc1
3.279317056,O=NN1CCCCC1
4.09894708,CNC(C)(C)Cc1ccccc1
1.182929208,C1N2CN3CN1CN(C2)C3
2.614632436,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
2.590281246,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC
3.635869615,O=C1C=CC(=O)C=C1
1.379483577,OCCCCC(O)CO
2.778738373,ClCC1CO1
1.279650151,OCCO
1.252329344,NCCS(=O)(=O)O
6.555354929,CC(C)OP(C)(=O)F
5.985559691,CCOP(=O)(OCC)OP(=O)(OCC)OCC
1.331581531,COCC(C)O
2.174629254,Cc1ccnc(N)n1
1.67219685,Cc1ccccc1
2.080576259,Nc1ncccn1
1.565805587,COCCO
1.574619579,CCOCCO
2.341884963,c1ccncc1
1.36424361,CC(O)COCC(C)O
2.557700503,O=C(O)CCCCCCCCC(=O)O
4.009281752,O=CCCCC=O
2.397535729,NCCNCCO
2.130775984,OCCNCCO
1.208566603,OCCOCCO
2.58539091,CCCCOCCO
1.525611613,CCOCCOCCO
1.108408887,OCCOCCOCCO
5.070758013,CCCCCCCCC=CCCCCCCCC(=O)O
3.861588918,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21
4.169033903,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
3.677829594,COC(=O)C(c1ccccc1)C1CCCCN1
6.606926041,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O
4.827015581,CC(C)CC1NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CC(C)C)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC1=O
4.279262404,CNC(=O)Oc1ccccc1OC(C)C
6.064047712,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
3.336003546,ON=Cc1cc[n+](COC[n+]2ccc(C=NO)cc2)cc1
2.318467585,CCC(CC)(CO)CO
5.295870967,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl
5.607267895,CNC(=O)ON=CC(C)(C)SC
3.193752201,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
4.220269392,CCCCN(CCN(CCCC)C(=O)N1CCOCC1)C(=O)N1CCOCC1
4.13120924,NC(=O)Nc1ccc([As](SCC(=O)O)SCC(=O)O)cc1
5.571080805,C=CC=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)CC1=O
4.336815619,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
1.460379085,Nc1ccc(S(=O)(=O)O)cc1
3.820022712,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
2.390519514,O=C(O)c1cccc([N+](=O)[O-])c1
3.924338817,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
3.243419678,CCCCB(CCCC)CCCC
2.981136811,Oc1ccc(O)cc1
4.650275554,CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
3.481747613,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
4.29430698,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
3.592649821,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
2.683262757,CCC1(CC)C(=O)NCC(C)C1=O
4.221801814,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3
3.917458994,CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1
4.07177976,CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1
2.945431654,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
2.009172467,O=CC12CC=CCC1C1CC=CCC1O2
1.665117606,O=S(=O)(O)CI
3.0273574,C#CC1(OC(N)=O)CCCCC1
5.181751139,CCOP(=O)(OCC)SCCSCC
1.20626663,NC(=O)NO
1.51852391,CC(=O)N(C)C
3.598579955,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12
2.951647098,CN1C(=O)OC(C)(C)C1=O
2.38072091,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
2.674034712,Nc1ccc([As](=O)(O)O)cc1
4.063778106,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3.465082311,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)CO)OC(CO)C(O)C1O
2.037986337,CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)cc1
3.678545157,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
1.939568389,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I
3.717631832,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
4.586333705,COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
2.105676098,O=c1nc[nH]c2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O
3.989930062,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1
2.618517021,O=C(O)c1cc(-c2ccccc2)nc2ccccc12
3.8520493,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
1.882340934,O=C(O)CNC(=O)c1ccccc1I
2.252540744,O=S(=O)(c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1)c1ccc(NC(CC(c2ccccc2)S(=O)(=O)O)S(=O)(=O)O)cc1
2.616751698,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
3.85428344,CCN(CC)CC(C)(C)COC(=O)C(CO)c1ccccc1
4.706528646,CCCCNc1ccc(C(=O)OCCN(C)C)cc1
3.669052218,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1
2.201877773,NCc1ccc(S(N)(=O)=O)cc1
6.114405668,NCC(O)c1ccc(O)c(O)c1
1.68037334,O=S(=O)(O)NC1CCCCC1
3.757255944,Nc1cc([AsH]=[AsH]c2ccc(O)c(N)c2)ccc1O
2.43374495,NCCO
1.808089985,C1CNCCN1
5.369356192,CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O
2.67325504,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
2.818119806,CCC1(CC)C(=O)NC(=O)NC1=O
4.025936364,C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1
3.003668478,CC(C)C(O)C(C)(C)CO
2.270371072,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
1.511368787,CC(=O)NS(=O)(=O)c1ccc(N)cc1
1.998939412,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
2.539381072,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
2.693306891,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C
3.823495903,CN(C)CCOC(c1ccccc1)c1ccccc1
2.07710325,CCN(CC)C(=S)S
4.254880996,O=C1C=C2C(=CCOC2O)O1
4.176662704,CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
1.696248729,Nc1ccc(C(=O)O)cc1
3.353657104,CCCCCCCCCCCCOS(=O)(=O)O
2.568501502,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O
4.625410945,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
3.540310006,COP(=O)(OC)SC
2.194784011,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
3.462803649,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
4.327980127,CN(C)CCN(Cc1ccccc1)c1ccccn1
5.579804376,CNCC(O)c1cccc(O)c1
4.190640204,O=NN(CCCl)C(=O)NCCCl
3.875553185,C1=Nc2ccccc2Oc2ccccc21
1.823987426,c1cn[nH]c1
2.647393054,C1CNCCNCCNCCN1
5.359365322,ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl
4.466061526,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
5.336436384,CCOP(=S)(OCC)SCSCC
4.698041992,CCOP(=S)(OCC)SCCSCC
4.186254535,C(=Cc1ccccc1)CN1CCN(C(c2ccccc2)c2ccccc2)CC1
3.366104046,CC(N)Cc1c[nH]c2ccccc12
4.059933158,CNC(C)Cc1ccccc1
3.54995351,C[N+](C)(C)CCCCCCC[N+](C)(C)C
3.719348921,CCS(=O)CCSP(=O)(OC)OC
6.906971738,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14
4.520126639,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1
3.519985416,C[N+]([O-])(CCCl)CCCl
3.602699381,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
3.417836912,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C
3.058340115,COC(C)C(O)(C(=O)OCC1=CCN2CCC(O)C12)C(C)C
3.66988189,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12
4.500675489,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
4.193145111,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21
3.502561485,COC1=C(OC)C(=O)C(CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)=C(C)C1=O
3.670442322,CNc1nncc2ccccc12
4.118385341,CCN(CC)C(=O)c1ccc(O)c(OC)c1
3.863266495,C=CCc1ccc(OCC(=O)N(CC)CC)c(OC)c1
3.570878593,O=[N+]([O-])c1cc(I)c(O)c(I)c1
2.958992301,C#CCN(C)Cc1ccccc1
4.031770817,Nc1cc([As]=O)ccc1O
3.493181267,NCCCNCCCCNCCCN
4.022788295,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
3.504069239,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
6.059432454,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
3.663872756,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3
4.353568562,CN1CCC(=C2c3ccccc3Sc3ccccc32)CC1
3.701465882,CC1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C1(C)O)C23
