mouse_intraperitoneal_LD50_(?log(mol/kg))_(?log(mol/kg)),canonical_smiles
1.762609838,CCOC(N)=O
2.666947468,CN(C)CN(C)C
2.638430811,CN(C)CSC(=S)N(C)C
6.468931905,C[N+](C)(C)CCOC(N)=O
3.343280552,CC[N+](C)(C)C
3.204728195,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
4.235583534,S=P(N1CC1)(N1CC1)N1CC1
2.775552198,CCC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O
2.966870239,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
2.380817022,C[Si]1(C)CCCC2(C1)C(=O)NC(=O)NC2=O
3.047195266,C[Si]1(C)CCCC2(C1)C(=O)NC(=S)NC2=O
3.389097259,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
2.292712284,O=C1NC(=O)C2(CCCCC2)C(=O)N1
2.548745553,O=C1NC(=S)NC(=O)C12CCCCC2
3.889087585,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
3.303158604,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
4.110672239,O=[N+]([O-])C(Br)(CO)CO
3.035577712,NC1(C(=O)O)CCCC1
3.043724395,CC1CC[Si](C)(C)CC12C(=O)NC(=O)NC2=O
2.579377428,C[Si]1(C)CCCCC2(C1)C(=O)NC(=O)NC2=O
3.285926832,C[Si]1(C)CCCCC2(C1)C(=O)NC(=S)NC2=O
2.766272663,CC(C)(S)C(N)C(=O)O
3.118414894,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
4.447890152,COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1
4.097917565,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
1.878660879,NC(CS)C(=O)O
3.42407543,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
3.69055114,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
2.470718611,CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C
2.521623036,CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O
3.869286577,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21
2.371305372,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
2.185665773,NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1
4.55363184,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
2.202804251,CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2
2.67674224,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
3.517552164,COc1cc(C(=O)OCCCN(C)CCN(C)CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC
3.253277413,CN1CC(O)C2=CC(=O)C(=O)C=C21
1.969496792,NC(Cc1c[nH]c2ccccc12)C(=O)O
2.230303565,O=C(O)Cc1c[nH]c2ccc(O)cc12
2.352387553,O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1
1.338352002,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1
3.262758818,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
2.549125927,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I
2.791165064,O=C(O)c1ccccc1Nc1ccccc1F
2.805328096,O=C(O)c1ccccc1Nc1cccc(F)c1
3.208700629,O=C(O)c1ccccc1Nc1ccc(F)cc1
3.850616741,CC[Hg]Sc1ccccc1C(=O)O
3.05223076,CCC1C(=O)OCC1Cc1cncn1C
4.014538701,C[N+]1(C)CCN(c2ccccc2)CC1
3.309436686,CC(C)NCC(O)c1ccc2ccccc2c1
3.137170479,NNC(=O)c1ccncc1
2.536413832,O=C(O)c1cccnc1
3.376866998,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
2.841163528,Cc1cc(N(C)C)ccc1N=Nc1ccccc1
3.096675888,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
3.400063641,C1CCc2nnnn2CC1
3.736922119,Nc1ccncc1N
2.888609166,CCN(CC)N=O
1.975395959,NC(=O)c1ccccc1
2.45081037,O=C(O)c1ccncc1
3.090884213,CCC(=O)c1ccc(NO)cc1
3.347657808,COP(=S)(OC)Oc1ccc(SC)c(C)c1
3.913641256,C[N+](C)(C)CC#CCOC(=O)Nc1cccc(Cl)c1
3.495500975,CC(Cc1ccccc1)NN
4.060232398,N=C(N=C(N)Nc1ccc(Cl)cc1)NCCCCCCNC(=N)N=C(N)Nc1ccc(Cl)cc1
2.706202537,N=C(N=C(N)N)Nc1ccccc1
3.339155109,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
3.169717122,N=C(N)NCCN1CCCCCCC1
2.194291193,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1
3.103433469,COc1ccc(CCN)cc1
4.875998564,CC(C)OP(=O)(F)OC(C)C
4.234200812,CC(CCC(C)OS(C)(=O)=O)OS(C)(=O)=O
3.45697654,CS(=O)(=O)OCCCCOS(C)(=O)=O
2.851817678,Cc1cc(=O)[nH]c(=S)[nH]1
2.429354497,N=C(N)SCCN
1.318741917,NCCCC(=O)O
2.707726831,NCCSSCCN
2.429625248,ClC(Cl)(Cl)Cl
5.29270343,CC12C(=O)OC(=O)C1(C)C1CCC2O1
4.678421494,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
4.987167046,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
2.697929034,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
3.37940797,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
3.000361,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12
3.860662558,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2.467987283,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1.024712084,OCC(O)CO
2.398041227,NC(CSSCC(N)C(=O)O)C(=O)O
7.283294989,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1
3.580921974,ON=Cc1cc[n+](CCC[n+]2ccc(C=NO)cc2)cc1
3.428855777,CCCCCCCCCCCCCCCC[N+](C)(C)C
2.543409437,CN(C)N
2.822155796,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.348741261,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.461446382,CCN(CC)CC(C)OC(=O)C(O)(c1ccccc1)c1ccccc1
3.574703714,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.395452159,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
5.631002368,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
1.388275057,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
2.819132228,CCCC(C)(COC(N)=O)COC(N)=O
0.893779227,CC(O)CO
2.250257315,O=C1CCO1
3.385765008,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
3.073952843,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.437638531,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
3.297202457,C=C(O)/C(C)=N\O
2.550411189,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
3.04445016,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
6.163297503,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.606908863,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
3.676436174,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
3.062926526,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3.526473751,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
3.136287051,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
2.878605085,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
2.61554396,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(OC(=O)CCC3CCCC3)CCC12
3.798459639,CC1=CC(=O)c2ccccc2C1=O
3.488563858,CNCCCN1c2ccccc2CCc2ccccc21
3.52688697,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
3.493635776,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
3.307844312,CN(C)CCCN1c2ccccc2Sc2ccccc21
3.103706592,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
3.277524696,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
2.243371894,Cc1ncc(CO)c(CO)c1O
1.926762001,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
2.32076163,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O
1.844600981,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.641407658,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
3.451473787,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.711916639,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2.324765879,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
1.975665208,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
1.750761893,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1
2.669737321,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
3.836827713,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
2.002979977,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
3.010443742,CCN(CC)C(=O)c1cccnc1
3.715417339,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
2.985758692,O=c1ccc2ccccc2[nH]1
3.563388185,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
2.755443681,Cc1ccccc1OCC(O)CO
2.522281179,O=C1Cc2ccccc2N1
2.528666073,O=c1[nH]c2ccccc2o1
3.696286477,OCC(S)CS
2.679545994,CC(=O)NC(C(=O)O)C(C)(C)S
2.739166887,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N
3.374106381,Cc1cc(C(=O)NNCc2ccccc2)no1
4.109517802,O=C(O)c1ccc([Hg+])cc1
3.314696542,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
3.258727053,O=NN1CCOCC1
3.486999747,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
3.060714498,c1ccc(CC2=NCCN2)cc1
2.9939672,Nc1ccc(N=Nc2ccccc2)cc1
3.107776219,S=C(N=Nc1ccccc1)NNc1ccccc1
2.991023717,CN(C)c1ccc(N=Nc2ccccc2)cc1
2.09676862,NC(Cc1ccc(O)cc1)C(=O)O
2.286038782,NCCc1ccc(O)cc1
2.444894211,NCCS
2.591821179,OCCS
3.343741152,C[N+](C)(C)CCCCCC[N+](C)(C)C
1.486137622,CCOCC
3.00070051,CCCCCC=CCC=CCCCCCCCC(=O)O
1.771352266,CC(N)=O
3.707121457,CNC(=O)CSP(=S)(OC)OC
3.199813449,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
2.358593408,Cn1cc[nH]c1=S
4.88185579,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
2.399627579,Cc1cc(=O)n(-c2ccccc2)n1C
3.305201514,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
3.268435031,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
3.628295087,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
2.969768583,CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
3.448339101,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
4.110108033,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
3.331825187,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1
3.423500872,COc1ccc(OC)c(C(O)C(C)N)c1
3.602692492,CN(C)CCc1c[nH]c2ccccc12
2.240749716,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
2.988408951,O=C1NCCN1c1ncc([N+](=O)[O-])s1
3.27105474,Cc1cccc(Nc2ccccc2C(=O)O)c1C
2.097063483,CN1C(=O)Cc2ccccc21
3.277850549,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
3.226813778,Nc1nc2cc(Cl)ccc2o1
2.623673038,Nc1nnc[nH]1
2.302930084,CNCC(=O)c1ccc(O)c(O)c1
2.278545755,O=C(O)c1ccc([N+](=O)[O-])cc1
2.896921191,CNCCc1ccc(O)c(O)c1
4.413351355,CC(=O)O[Hg]c1ccccc1
2.52099029,CCOc1ccc(NC(C)=O)cc1
2.455495945,CCOS(C)(=O)=O
3.280976476,CC(=O)OC(C)C[N+](C)(C)C
2.398726816,CC(N)=S
2.881521601,NC(N)=S
2.138285852,CC(C)(N)C(=O)O
5.228064351,CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O
3.507004104,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
4.001922427,COP(=O)(OC)OC=C(Cl)Cl
4.060007403,O=C(O)CF
3.59096496,CN(C)N=O
2.609131057,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1
3.905741927,CNC(=O)Oc1cccc2ccccc12
3.392701977,COc1cc(NC(C)CCCN)c2ncccc2c1
3.392778966,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1
4.537085841,Nc1ccc(S(N)(=O)=O)cc1
2.096757556,NC(Cc1ccccc1)C(=O)O
2.060554067,NC(=O)NC(=O)Cc1ccccc1
2.445832716,Cc1cccc(NC(N)=O)c1
4.794748819,CNC(=O)Oc1cccc(C(C)C)c1
2.892860446,NCCc1ccccc1
2.10872454,NC(=O)Nc1ccccc1
4.094695264,Cc1ccc(CC(C)N)cc1
3.371765458,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C
3.082604471,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.787863474,CCC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1
2.703253986,CCC(C)C(C)(COC(N)=O)COC(N)=O
3.848460081,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1
3.792943313,CCC1(C)CC(=O)NC(=O)C1
3.394330248,O=C(O)CI
2.690817681,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
5.397334832,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
3.223842624,CCN(CC)CCOc1ccc(C2=C(c3ccccc3)Cc3cc(OC)ccc32)cc1
2.98028647,CCn1cnc(C(=O)NC)c1C(=O)NC
3.458561501,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1
2.58149214,Cc1ncc(CO)c(C=O)c1O
4.708274694,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
1.578155305,Nc1ccc(C(=O)O)c(O)c1
2.268598561,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
3.152133201,CC(CNN)c1ccccc1
1.869720192,O=c1cc[nH]c(=O)[nH]1
2.786648908,COS(C)(=O)=O
5.533064868,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
4.765918365,CC[N+](CC)(CC)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2[N+](CC)(CC)CC)C1
3.385391201,CC[N+](CC)(CC)CC
5.054204823,CC[N+](C)(CC)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2[N+](C)(CC)CC)C1
2.964040306,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-]
2.838972062,O=C1NC(=O)C(C(c2ccccc2O)C2C(=O)NC(=O)NC2=O)C(=O)N1
4.790634656,CC12CCC([N+](C)(C)C)CC1CCC1C2CCC2(C)C1CCC2[N+](C)(C)C
3.380717623,c1cnc2c(c1)ccc1cccnc12
3.567684184,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
2.978546272,COc1ccc2[nH]cc(CCN)c2c1
2.979468251,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
4.033195825,Cc1ccccc1OCC[N+](C)(C)C
3.329734839,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
2.875369985,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
2.383466185,C[N+](C)(C)CCO
2.22699764,Cc1cc(C)[nH]n1
2.404213676,O=C1CC(=O)NC(=O)N1
1.127858472,CC(C)O
1.651086632,CC(C)=O
2.282436252,ClC(Cl)Cl
1.72105913,ClC(Cl)(Cl)C(Cl)(Cl)Cl
3.6427756,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
3.583585664,CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
3.45152457,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
4.008598841,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3
2.050974314,CN(C)C=O
2.278085524,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
2.400959541,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
3.095326994,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
3.600460181,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
2.258841533,O=c1nc[nH]c2nc[nH]c12
3.325561271,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
4.120690691,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1
3.691618822,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
3.76166114,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
4.647149784,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
1.909458708,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.552217229,O=C(O)c1ccccc1O
2.0252772,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
2.280024293,O=C(O)c1cc(SSc2ccc([N+](=O)[O-])c(C(=O)O)c2)ccc1[N+](=O)[O-]
1.070510104,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
1.990779566,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
2.483196327,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
2.185804247,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
2.445658681,COc1ccccc1OCC1CNC(=O)O1
1.883376077,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
4.837354816,O=C1CCCN1CC#CCN1CCCC1
3.348051023,CN(N=O)C(N)=N[N+](=O)[O-]
1.628143612,CCS(=O)CC
4.308465165,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
2.875509803,O=C(O)CC(S)C(=O)O
2.523415852,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
2.835617021,Cc1ccc(S(N)(=O)=O)cc1
3.27065846,CCC(=O)c1ccc(N)cc1
2.875573429,CCC(=O)c1ccc(O)cc1
1.283995545,CCCO
1.69898564,Nc1cc[nH]c(=O)n1
2.465119272,CCCCO
1.958450582,CCCCCO
2.36124996,c1ccccc1
1.715577088,CC(Cl)(Cl)Cl
2.411094195,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
5.698197238,COc1ccc(C(=O)OC2CCC3(C)C4CCC5C6(O)CC(O)C7(O)C(CN8CC(C)CCC8C7(C)O)C6(O)CC53OC24O)cc1OC
5.292568442,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.51537881,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
3.33948771,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.602378972,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
3.550516846,CC(C)OP(=O)(OC=C(Cl)Cl)OC(C)C
3.581406308,CC(C)COP(=O)(OC=C(Cl)Cl)OCC(C)C
4.317070423,CCOP(=O)(OC=C(Cl)Cl)OCC
1.450283823,CC(O)C(=O)O
1.9868235,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
4.978773248,CC[N+](C)(C)C1CCC2(C)C(CCC3C2CCC2(C)C3CCC2[N+](C)(C)CC)C1
2.371115207,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C
3.130751777,Nc1ncnc2nc[nH]c12
2.227714728,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
1.943475966,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
7.316542733,C[N+](C)(CCO)C(=O)Cc1ccc(-c2ccc(CC(=O)[N+](C)(C)CCO)cc2)cc1
3.465881625,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.938419646,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
2.317116743,CCC(CO)NCCNC(CC)CO
3.504224761,CC(C)OP(=S)(Oc1ccc([N+](=O)[O-])cc1)OC(C)C
2.259146272,O=S(=O)(O)CC(S)CS
2.297489088,BrC(Br)Br
1.405304307,CC(C)Br
2.116487686,CC(C)I
1.771675654,CC(C)N
2.084760081,CN(C)C
2.74422184,C[N+](=O)[O-]
2.206377331,CC1CN1
2.520988559,CC1CO1
3.631532957,C[N+](C)(C)C
2.29038779,C[As](C)(=O)O
2.268980093,CC(C)(C)O
1.896588188,FC(Cl)(Cl)Cl
4.929960179,CC(C)(O)C#N
2.390310875,O=CC(Cl)(Cl)Cl
2.801512255,OCC(F)(F)F
2.563895714,CC(C)(C)OO
3.817895757,O=[N+]([O-])C(Cl)(Cl)Cl
