rat_oral_LD50_(?log(mol/kg)),canonical_smiles
2.230357673,NCCSSCCN
2.2499536,NCCCNCCCN
1.815953415,ClC(Cl)(Cl)Cl
3.835812255,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
3.547318386,CCCC[Sn](CCCC)(CCCC)OC(C)=O
1.937880697,CC[N+](CC)(CC)Cc1ccccc1
5.163258305,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.151971906,NCC(=O)O
1.951590055,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
2.727196643,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
2.957266261,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
4.44568921,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2.11143996,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
0.863860791,OCC(O)CO
1.28972567,NC(=O)CCC(N)C(=O)O
2.947109736,C=CCN=C=S
2.841377786,CCCCCCCCCCCCCCCC[N+](C)(C)C
1.408968832,CCCCCCCCCCCCCCCC(=O)O
0.844974312,NC(N)=O
2.432594269,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.173132016,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.250292687,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
3.199378022,CC1CN1P(=O)(N1CC1C)N1CC1C
2.202766178,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
4.786675722,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
1.061646644,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
2.43913972,CCCC(C)(COC(N)=O)COC(N)=O
0.580326126,CC(O)CO
2.489621618,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.537182923,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
1.810366954,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
4.337988792,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.053025836,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
2.894282181,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
3.004934579,Cn1c(=O)c2c(ncn2C)n(C)c1=O
2.926017464,CCN(CC)CCSC(=O)N(c1ccccc1)c1ccccc1
2.752252794,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
2.909328895,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
2.082725067,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
2.668489946,CNCCCN1c2ccccc2CCc2ccccc21
1.778698943,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
4.098845254,c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21
2.317544517,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
2.88090833,CN(C)CCCN1c2ccccc2Sc2ccccc21
2.481644679,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1.626289029,Cc1ncc(CO)c(CO)c1O
1.42850573,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
1.59818404,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1
3.355964422,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
3.219159603,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.034511783,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
1.470893915,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
1.884266475,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O
3.527149472,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1.56300053,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.49832554,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
2.340896947,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
2.464713642,Cc1ccccc1OCC(O)CO
2.285628025,O=c1[nH]c2ccccc2o1
1.89162275,Cc1cc(O)ccc1Cl
2.301148093,CC(=O)NC(C(=O)O)C(C)(C)S
2.9169331,Cc1cc(C(=O)NNCc2ccccc2)no1
2.526115763,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
2.614657919,O=NN1CCOCC1
2.084694933,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
2.125535481,c1ccc(CC2=NCCN2)cc1
1.975384413,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
2.198087183,Nc1ccc(N=Nc2ccccc2)cc1
3.051721558,CN(C)c1ccc(N=Nc2ccccc2)cc1
1.834100878,OCCc1ccccc1
2.505461348,OCCS
1.78537671,CCOCC
1.767037068,CC(=O)OCC[N+](C)(C)C
0.926254226,CC(N)=O
3.582182721,CNC(=O)CSP(=S)(OC)OC
1.705380895,Cn1cc[nH]c1=S
2.042964459,Cc1cc(=O)n(-c2ccccc2)n1C
2.492014046,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
2.475117569,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
2.634234263,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
2.102677199,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1
1.763975758,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
2.376589122,O=C1NCCN1c1ncc([N+](=O)[O-])s1
2.513307604,Cc1cccc(Nc2ccccc2C(=O)O)c1C
2.382059801,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
2.333607025,Nc1nc2cc(Cl)ccc2o1
1.883310348,Nc1nnc[nH]1
1.930772356,O=C(O)c1ccc([N+](=O)[O-])cc1
3.344713127,COC(C[Hg+])CNC(N)=O
3.914510851,CC(=O)O[Hg]c1ccccc1
2.035900106,CCOc1ccc(NC(C)=O)cc1
2.329701542,CC(=O)OC(C)C[N+](C)(C)C
2.397281575,CC(N)=S
2.784611588,NC(N)=S
2.217983016,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
4.113896187,COP(=O)(OC)OC=C(Cl)Cl
3.301516837,CN(C)N=O
2.9419541,CNC(=O)Oc1cccc2ccccc12
1.534403093,O=CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
3.16591801,COc1cc(NC(C)CCCN)c2ncccc2c1
0.617509982,CSCCC(N)C(=O)O
1.644991238,Nc1ccc(S(N)(=O)=O)cc1
2.046765782,NC(=O)NC(=O)Cc1ccccc1
2.052763351,Cc1cccc(NC(N)=O)c1
4.081990531,CNC(=O)Oc1cccc(C(C)C)c1
1.833000409,NC(=O)Nc1ccccc1
2.997785251,Cc1ccc(CC(C)N)cc1
2.936002142,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
2.301553828,CCC(C)C(C)(COC(N)=O)COC(N)=O
3.2006426,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1
2.243565086,CCOS(=O)(=O)OCC
2.035733452,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
2.87855225,CCN(CC)CCOc1ccc(C2=C(c3ccccc3)Cc3cc(OC)ccc32)cc1
1.882976405,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1
1.890704295,Cc1ncc(CO)c(C=O)c1O
2.708274694,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.145931736,NC(=O)c1ccccc1O
1.281990148,Nc1ccc(C(=O)O)c(O)c1
1.155968059,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
1.27140787,O=c1cc[nH]c(=O)[nH]1
1.311389793,CCCCCC=O
2.689738895,COS(C)(=O)=O
1.694838655,CC[N+](CC)(CC)CC
4.851346215,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
3.128785567,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
2.369510707,O=Cc1cccc2ccccc12
5.148220011,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
1.854464822,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
5.957348935,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
2.001787737,O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O
1.984018402,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
1.702812961,O=Cc1ccc(CO)o1
1.340931673,C[N+](C)(C)CCO
1.40853505,O=C1CC(=O)NC(=O)N1
1.075984396,CC(C)O
1.000598614,CC(C)=O
2.234939494,ClC(Cl)Cl
0.731483172,CS(C)=O
1.274781123,CS(C)(=O)=O
1.724936785,ClC(Cl)(Cl)C(Cl)(Cl)Cl
2.053552834,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
2.380062524,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
3.961814188,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
1.416729639,CN(C)C=O
2.156032476,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
1.398431352,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
1.990169522,ClC(Cl)(Cl)c1ccc(C(Cl)(Cl)Cl)cc1
2.016145748,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
2.782479139,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
3.076931575,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
4.221181052,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
1.726390116,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.181082532,O=C(O)c1ccccc1O
1.75163417,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
0.992823849,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
1.13579315,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
1.766685305,COc1ccccc1OCC1CNC(=O)O1
1.635191407,O=c1[nH]sc2cc(Cl)ccc12
3.213352449,CN(N=O)C(N)=N[N+](=O)[O-]
1.274035173,CCS(=O)CC
3.853301705,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
0.854935768,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C
1.351300165,CC(C)=CC1C(C(=O)OCc2cc3c(cc2Cl)OCO3)C1(C)C
2.925775181,CCC(=O)c1ccc(N)cc1
1.014680115,NC(Cc1cnc[nH]1)C(=O)O
1.50700396,CCCO
1.972325897,CCCCO
1.924245929,c1ccccc1
1.142900874,CC(Cl)(Cl)Cl
1.78100548,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
4.507969435,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.17184342,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
2.461267928,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
4.99831166,CCOP(=O)(OC=C(Cl)Cl)OCC
1.491973478,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
2.270296417,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
3.45213396,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
2.557985417,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1.667967744,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
2.148569819,Cc1cc(-c2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O
2.477760644,CC12C=CC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
2.53853946,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1
1.443176712,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C
2.77472592,Nc1ncnc2nc[nH]c12
1.860867448,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
2.061899439,CCOCc1cnc(C)nc1N
2.868792723,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.126517142,O=C(O)c1ccc(Cl)cc1
2.040792555,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
2.432776872,BrC(Br)Br
2.580922325,ClC(Cl)Br
1.196131952,CC(C)Cl
2.726352675,CC(C)N
2.13512168,CC(Cl)Cl
2.685490939,C=C(Cl)Cl
1.935817199,CC(=O)Cl
3.044971257,IC(I)I
2.072705649,CN(C)C
1.812486671,C[N+](=O)[O-]
3.477852083,CC1CN1
2.184243011,CC1CO1
3.108616673,C[N+](C)(C)C
2.027943185,C[As](C)(=O)O
1.431727181,CC(C)(C)O
1.280393888,CC(C)(C)S
3.405874645,C[Pb](C)(C)C
3.097759974,ClC(Cl)(Br)CBr
1.945222317,CCC(C)(C)O
3.659281343,CC(C)(O)C#N
2.6199581,OCC(F)(F)F
2.386629097,CC(C)(C)OO
2.100938354,C=C[Si](Cl)(Cl)Cl
2.215368817,CC(=O)C(C)(C)C
2.054923579,CC(C)(C)C(=O)O
2.213334438,CC(O)C(Cl)(Cl)Cl
2.342197321,ClC(Cl)C(Cl)(Cl)Cl
2.481521454,O=C(Cl)C(Cl)(Cl)Cl
2.817895757,O=[N+]([O-])C(Cl)(Cl)Cl
1.406178117,FC(F)(Cl)C(Cl)(Cl)Cl
0.63924319,FC(F)(Cl)C(F)(Cl)Cl
2.735070569,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
1.715501945,CC12CCC(C(Br)C1=O)C2(C)C
1.661091943,COC(F)(F)C(Cl)Cl
3.970022429,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
1.678283414,CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C
3.274413817,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
3.31624641,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
3.901950832,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
2.661640504,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
2.33116245,CCC1(CC)C(=O)C=CNC1=O
1.740211005,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
2.867019077,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1
2.558844516,CCC1(c2ccccc2)CCC(=O)NC1=O
1.830937504,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
2.937490826,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
3.058309083,CC1(C)C(=O)N(Br)C(=O)N1Br
0.771483194,CC(=O)OC1(C)CCC23CC1C(C)(C)C2CCC3C
3.557384132,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
2.875238976,CCC(Br)(CC)C(=O)NC(N)=O
1.889671027,CCC1(C)CC(=O)NC1=O
1.215559613,CC1(C)NC(=O)NC1=O
2.57347646,C1=CC2C3C=CC(C3)C2C1
2.158094799,CCC(C)(O)CC
3.567309477,C=CS(=O)(=O)C=C
2.789074864,COS(=O)(=O)OC
1.666430511,O=S1(=O)CC=CC1
4.64165898,CCOP(=O)(C#N)N(C)C
1.576387679,CCOC(=O)C1OC1(C)c1ccccc1
1.312421217,NC(CO)(CO)CO
1.657768615,CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC
1.670505295,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
0.978452491,CCC(CO)(CO)CO
4.419899359,CC[Pb](CC)(CC)CC
1.137921254,CCO[Si](CC)(OCC)OCC
1.521484273,CCO[Si](OCC)(OCC)OCC
2.279764492,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]
2.907964082,OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
1.814954107,C=CC1OCC2(CO1)COC(C=C)OC2
2.801694192,CCCC[Sn]1(CCCC)OC(=O)CS1
2.501825086,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C
4.358458351,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
0.791007834,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C
1.455668727,C=CC(C)(CCC=C(C)C)OC(=O)C=Cc1ccccc1
1.853162721,CCOP(=O)(CC)OCC
2.194117556,CCOP(=O)(OCC)OCC
2.340455022,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(Cl)cc2)c2ccc(C)cc2)cc1
1.069929966,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
2.182597114,O=P(OCC(Cl)CCl)(OCC(Cl)CCl)OCC(Cl)CCl
2.29495696,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
3.32155977,CCCCSP(=O)(SCCCC)SCCCC
2.123282004,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
5.397011997,CCOP(=S)(OCC)SCSC(C)C
4.911798203,CCOP(=O)(OCC)SCCN(CC)CC
2.499784357,COP(=S)(OC)SCc1nc(N)nc(N)n1
1.86869786,CC1=CC(=O)CC(C)(C)C1
1.203528743,CCO[Si](C)(C)OCC
1.957912431,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C
2.084964187,CCC(C)(O)C#CC(C)(O)CC
3.215404891,CC(C)(C#N)N=NC(C)(C)C#N
1.500469756,CCC(C)(O)CCCC(C)C
1.742629416,C=CC(C)(O)CCC=C(C)C
2.412247688,ClCC1(CCl)COC1
2.435294449,CC(Br)CBr
3.140552036,CC(C)C#N
1.479017881,CC(C)CO
1.875706194,CC(C)C=O
2.699534221,C=C(C)C=O
1.763662526,CC(Cl)CCl
2.540059521,C=C(Cl)CCl
2.637163698,CC(Cl)CO
1.521671561,CC(N)CN
1.528914357,CCC(C)O
1.42070263,CCC(C)=O
3.482050276,C=CC(C)=O
2.966259094,CC(=O)CCl
1.64143942,CC(O)CN
2.912222057,CC(O)C#N
1.791386413,C=C(O)C=O
1.240115121,CCC(Cl)Cl
2.20296583,ClCC(Cl)Cl
1.426593904,ClC=C(Cl)Cl
2.734795984,O=C(Cl)CCl
2.758319624,C=CC(N)=O
2.830992903,NC(=O)CCl
3.443882296,O=C(O)CBr
1.454721763,CCC(=O)O
3.332667531,C=CC(=O)O
1.310152823,O=C(O)CO
1.164917666,CNC(C)=O
2.170772005,NN=C(N)N
3.997808785,NNC(N)=S
1.170725107,COC(C)=O
3.197266771,COC(=O)Cl
1.834056375,CC[N+](=O)[O-]
2.459460341,BrC(Br)C(Br)Br
2.92389135,ClC(Cl)C(Cl)Cl
1.777527019,O=C(Cl)C(Cl)Cl
2.268147494,C=C(C)C(N)=O
1.909646843,C=C(C)C(=O)O
2.031570032,CN(C)C(=O)Cl
2.092515961,CC(C)[N+](=O)[O-]
2.890735685,O=C(C(F)(F)Cl)C(F)(Cl)Cl
2.097573109,CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O
1.821878577,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
1.435328255,C=C1C2CCC(C2)C1(C)C
2.411692535,CC(C)(O)C(C)(O)c1ccc(Cl)cc1
1.692459625,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
2.256515014,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1
