PUBCHEM_CID,low_permeability,Phenotype,canonical_smiles
15991364,1,Low,Cc1ccc2oc3c(c(=O)c2c1)C(c1cccc(O)c1)N(CCCN1CCOCC1)C3=O
15991365,0,Moderate,COc1cc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN2CCOCC2)ccc1O
15991372,1,Low,Cc1ccc2oc3c(c(=O)c2c1)C(c1ccc(O)cc1)N(CCCN(C)C)C3=O
15991374,0,High,CCCCOc1ccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1OCC
15991449,0,High,O=S(=O)(c1ccccc1)c1nc(-c2ccc(F)cc2)oc1N1CCCCCC1
4229355,1,Low,CCc1ccc(C2N=C(N)Nc3nc4ccccc4n32)cc1
2983992,0,High,N#Cc1ccc(C(=O)Nc2ccc(Cl)c(-c3nc4cc(Cl)ccc4o3)c2)c(F)c1
2982228,0,Moderate,Cc1ccc2nc(-c3cc(NC(=O)c4ccc5c(c4)OCCO5)ccc3Cl)oc2c1
3122421,0,High,COc1ccc(-c2cc(-c3ccccc3)nc(SCC(=O)Nc3ccccc3C)c2C#N)cc1
15991500,0,High,COc1ccc(-c2cc(C)nc3c(-c4ccc(OC)c(OC)c4)c(C)nn23)cc1
1252213,0,High,Cn1c(=O)c2c(-c3ccc(Cl)cc3)n(CCc3ccccc3)cc2n(C)c1=O
5297518,0,High,CCOC(=O)c1ccc(NC(=O)CSc2nc3c(cc2C#N)N2CCC3CC2)cc1
4898908,0,High,Nc1c(C(=O)Nc2ccc(Cl)cc2)sc2nc3c(cc12)N1CCC3CC1
5297522,0,High,CCOC(=O)c1ccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)cc1
4368645,0,High,COc1cc(Cl)c(C)cc1Nc1c2c(nc3ccccc13)CCC2
15987880,0,High,CCc1cccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccs2)c1
15987881,0,High,Cc1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2cccs2)cc1Cl
9551517,0,High,CCn1cc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)c2cc(OC)c(OC)cc2c1=O
15987948,0,High,O=C(CCCCn1c(=O)[nH]c2ccsc2c1=O)N1CCN(c2cccc(Cl)c2)CC1
4753688,0,High,CCCCCn1c(CCCNC(=O)c2ccccc2OC)nc2ccccc21
15988512,0,High,CCc1cccc(NC(=O)CSc2nc3ccccc3nc2N2CCCCC2)c1
15988552,0,High,COc1ccc(OC)c(-n2c3c(cc(-c4nc(-c5ccc(Cl)cc5)cs4)c2=O)C(=O)CC(C)(C)C3)c1
15988674,0,High,O=C(Nc1ccc(Cl)cc1)C(NS(=O)(=O)c1cccs1)c1ccccc1
15988676,0,Moderate,Cc1cc(Br)ccc1NC(=O)C(NS(=O)(=O)c1cccs1)c1ccccc1
15989508,0,High,Cc1ccc(NC(=O)NCC2CCN(Cc3cccc(Cl)c3)CC2)cc1Cl
15989530,0,High,O=C(NCC1CCN(Cc2cccc(Cl)c2)CC1)Nc1ccc(F)c(Cl)c1
15989544,0,High,CCOc1ccc(OCC)c(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)c1
15989546,0,Moderate,CC(=O)Nc1ccc(NC(=O)C(NS(=O)(=O)c2ccc(Br)s2)c2ccccc2)cc1
15989548,0,High,CCN(C(=O)C(NS(=O)(=O)c1ccc(Br)s1)c1ccccc1)c1ccc(C)c(C)c1
15989558,0,High,Cc1ccc(C)c(CN2CCC(CNC(=O)Nc3ccc(Br)cc3F)CC2)c1
2973056,0,High,COc1cc(C2CC(=O)Nc3cc4c(cc32)OCCO4)cc(Br)c1OC
15989880,0,High,CC(C)Oc1cccc(C2CC(=O)Nc3cc4c(cc32)OCO4)c1
15990000,0,High,Cc1ccc(NC2=C(c3ccc(C(F)(F)F)cc3)C(=O)c3ccccc32)cc1F
8088003,0,High,CCN(c1ccccc1)S(=O)(=O)c1c(C)nc2scc(C)n2c1=O
15990148,0,High,Cc1cccc(N2CCN(c3nc4ccccc4c4nnc(C)n34)CC2)c1C
15990190,1,Low,Cc1ccc(Nc2nc(C)c(NC(=O)c3ccc(C)cc3)c(Nc3ccc(C)cc3)n2)cc1
15990297,0,Moderate,CCOc1ccc(Nc2nc(C)c(NC(=O)c3ccc(C)cc3)c(Nc3ccc(OCC)cc3)n2)cc1
15990342,0,High,CCC1=Nc2cc(C(=O)NCCCOC)ccc2Sc2ccc(Br)cc21
15990397,0,High,COc1cc(NC(=O)c2nc3ccccc3n(C)c2=O)cc(OC)c1OC
15990405,0,High,O=C(CSc1nc(-c2ccc(F)cc2)[nH]c1-c1ccc(F)cc1)Nc1ccc2c(c1)OCCO2
15990550,0,High,CCC1=Nc2cc(C(=O)NC3CCCC3)ccc2Sc2ccc(Cl)cc21
15990919,0,High,CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(-c4cccs4)c3C2c2ccc(Cl)cc2Cl)cc1
15990923,0,High,CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(-c4cccs4)c3C2c2ccc(OCC)cc2)cc1
16020134,0,High,CCOC(=O)C1=C(CN(CC)Cc2ccccc2)NC(=O)NC1c1ccc(OC(C)C)cc1
16020144,0,High,CCOC(=O)c1ccc(N2C(=O)c3n[nH]c(-c4ccco4)c3C2c2ccc(C)cc2)cc1
15999416,0,High,COc1ccc(OC)c(Nc2c3c(nc4ccccc24)CCC3)c1
16007397,0,High,COc1ccc(C)cc1Nc1c2c(nc3ccccc13)CCC2
16008054,0,High,Cc1ccc(C)c(CN2C(=O)c3ccccc3S(=O)c3ccc(C(=O)N4CCN(c5ccccc5F)CC4)cc32)c1
4917871,0,High,CCOc1ccc(NC(=O)CC2C(=O)N(c3ccc(F)cc3)C(=O)N2CCc2sccc2C)cc1
2151568,0,Moderate,COc1ccc(-c2nc3c(c(SCC(=O)Nc4ccc(C(=O)O)cc4)n2)Cc2ccccc2O3)cc1
16010131,0,High,CCCNC(=O)c1ccc2c(c1)N=C(C)c1c(C)ccc(C)c1S2
16010137,0,High,CC1=Nc2cc(C(=O)NCCc3ccccc3)ccc2Sc2c(C)ccc(C)c21
16010530,0,High,COc1ccc(N(C)C(=O)c2cc3c(s2)-c2ccccc2OC3)cc1
16010865,0,High,CCc1ccc2ncc(C(=O)c3ccc(C)c(C)c3)c(N3CCC(C(N)=O)CC3)c2c1
16011163,0,High,COC(=O)c1cc2occc2n1Cc1nc(-c2ccc(C)cc2)oc1C
1243964,0,High,Cn1c(CN2CCCCC2)nc2cc(NC(=O)c3cccc(Br)c3)ccc21
16013207,0,High,COc1ccc(-c2noc(CSc3nnc(Cc4ccccc4)n3-c3ccc(F)cc3)n2)cc1
6485805,0,Moderate,Cc1nc2nc(NC(=O)c3ccc(C(C)(C)C)cc3)[nH]n2c(=O)c1Cl
16014174,0,High,O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccc(F)cc2)ncc1Cl
16014186,0,High,O=C(Nc1ccccc1F)c1nc(S(=O)(=O)Cc2ccccc2F)ncc1Cl
16014337,0,High,CCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1
16014640,0,High,CCCCCn1cc2c(c1-c1ccc(Br)cc1)c(=O)n(C)c(=O)n2C
16014644,0,High,CCCCn1cc2c(c1-c1ccc(Br)cc1)c(=O)n(C)c(=O)n2C
16014662,0,High,Cn1c(=O)c2c(-c3ccc(Br)cc3)n(CCc3ccccc3)cc2n(C)c1=O
16014853,0,High,CCS(=O)(=O)c1ncc(N(Cc2ccc(F)cc2)Cc2ccco2)c(C(=O)Nc2cc(C)ccc2C)n1
16015040,0,High,CCOC(=O)N1CCN(Cc2nc3cc(NC(=O)c4ccc(OC)cc4)ccc3n2C(C)C)CC1
16015257,0,High,CCc1ccc(OC(C)C(=O)N2CCC(c3nc4ccccc4o3)CC2)cc1
16015431,0,High,CN(C(=O)CSc1nc2ccc(NC(=O)c3ccc(F)cc3)cc2s1)c1ccccc1
7661054,1,Low,CCOc1ccc(-c2nnc(SCC(=O)NCc3ccccc3Cl)o2)cc1
135546828,0,High,CCc1ccc(-n2nc(C)c3c2NC(=O)CSC3c2ccccc2C)cc1
16017615,0,High,COc1cccc(C(=O)Nc2nnc(S(=O)(=O)N3CCOCC3)s2)c1
16018041,0,High,CC(C)Oc1ccc(CNC(=O)C2CCN(C(=O)N3CCOc4ccc(Cl)cc43)CC2)cc1
16018226,0,High,COc1ccc(CCNC(=O)Cn2c(=O)c3cccn3c3ccc(F)cc32)cc1OC
16018319,0,High,CCOc1ccc(-c2cn3c(n2)sc2cc(C(=O)NCCCN(CC)CC)ccc23)cc1
135546945,0,High,COc1cc(NC(=O)c2cc(-c3ccccc3O)no2)cc(OC)c1OC
16018629,0,High,C=Cc1ccc(Cn2c(C(=O)O)c(CNC3CCCCC3)c3ccc(OC)cc32)cc1
16019052,0,High,Cc1ccc(-n2c(=O)c3oc4ccccc4c3n(CC(=O)Nc3ccc(F)c(Cl)c3)c2=O)cc1C
16019143,0,Moderate,Cc1ccc(-c2c(CN3CCN(c4cccc(C(F)(F)F)c4)CC3)csc2C)cc1
8099609,0,High,COc1cc(Cl)c(C)cc1NS(=O)(=O)c1c(C)nc2sccn2c1=O
8099624,0,High,COC(=O)c1ccc(NS(=O)(=O)c2c(C)nc3sccn3c2=O)cc1
16019899,0,High,COc1ccc(NC(=O)CCCc2nnc3n(CCC(C)C)c(=O)c4sccc4n23)cc1Cl
16020541,0,High,Cc1cccc(S(=O)(=O)c2cn(Cc3ccccc3)c3cc(N4CCCC(C)C4)c(F)cc3c2=O)c1
16020543,0,High,Cc1cccc(S(=O)(=O)c2cn(Cc3ccccc3)c3cc(N4CCCCC4C)c(F)cc3c2=O)c1
16022130,0,High,Cc1ccc(NC(=O)c2c(N3CCCC3=O)c3cc(C)ccc3n2C)c(C)c1
16022668,0,High,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NC(C)c4ccccc4)nc(C)c3c2C)cc1
16022683,0,High,COc1ccc(Cn2c(C(=O)O)c(CNCc3ccco3)c3ccc(C)cc32)cc1
16022685,0,High,COc1ccc(Cn2c(C(=O)O)c(CNCc3cccc(OC)c3)c3ccc(C)cc32)cc1
16022690,0,High,COc1ccccc1CNC(=O)CCCn1nc(C)c2c(C)n(-c3ccc(C)cc3)nc2c1=O
16022694,0,High,Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCc4ccccc4F)nc(C)c3c2C)cc1
16022696,0,High,COc1ccc(CNC(=O)CCCn2nc(C)c3c(C)n(-c4ccc(C)cc4)nc3c2=O)cc1OC
16022698,0,High,COc1cccc(CNC(=O)CCCn2nc(C)c3c(C)n(-c4ccc(C)cc4)nc3c2=O)c1OC
16022700,0,High,CCOc1ccc(CNC(=O)CCCn2nc(C)c3c(C)n(-c4ccc(C)cc4)nc3c2=O)cc1
16023012,0,High,COc1ccc(-n2nc3c(N4CCCC(C(=O)NCCc5ccc(C)cc5)C4)nnc(C)c3c2C)cc1
16023100,0,High,Cc1cccc(N(C)c2nc3ccccc3c3nnc(C)n23)c1
135410423,0,High,COc1ccccc1NC(=O)C1=C(C)Nc2c(C(=O)Nc3cccc(C)c3)cnn2C1c1ccccc1Cl
135410425,0,High,CCOc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4cccc(C)c4)cnn32)cc1
135410430,0,High,CCc1ccc(C2C(C(=O)Nc3ccccc3OC)=C(C)Nc3c(C(=O)Nc4ccc(C)cc4)cnn32)cc1
16023573,0,High,COc1ccc(OC)c(CNc2ncnc3onc(C)c23)c1
16023585,0,High,COc1ccc(CCNc2ncnc3onc(C)c23)c(OC)c1
16023905,0,High,COc1ccc2[nH]cc(CCNC(=O)c3cnn(-c4ccc(C)cc4)c3C3CCN(C(=O)OC(C)(C)C)CC3)c2c1
16024023,0,High,COc1cccc(CNCc2cccn2-c2nnc(N3CCN(c4ccccc4)CC3)s2)c1
16025620,0,High,Cc1cc(-c2ccc(C)c(S(=O)(=O)NCC3CCN(Cc4ccc(F)cc4)CC3)c2)on1
16025626,0,High,Cc1ccc2c(c1)N(S(=O)(=O)c1cc(-c3onc(C)c3C)ccc1C)CCO2
16025693,0,High,COc1cccc(C(=O)Nc2nc(-c3nnn(-c4ccccc4C(F)(F)F)c3C)ns2)c1
16025831,0,High,CSc1nn(Cc2cccc(C)c2)c(N)c1S(=O)(=O)c1ccccc1
16026577,0,High,CCOc1ccc(N2CC(c3nc(-c4cc(OC)c(OC)c(OC)c4)no3)CC2=O)cc1
16027973,0,High,COc1ccccc1CNS(=O)(=O)c1ccc(-c2cnc(C3CC3)o2)cc1
16028005,0,High,COc1ccc(C)cc1NS(=O)(=O)c1ccc(-c2cnc(C3CC3)o2)cc1
16028031,0,High,CCOc1ccccc1CNS(=O)(=O)c1ccc(-c2cnc(C3CC3)o2)cc1
7498662,0,High,Cc1ccccc1C(=O)Nc1ccc2c(c1)CCCN2C(=O)c1cccs1
7498666,0,High,CC(C)Oc1ccc(C(=O)Nc2ccc3c(c2)CCCN3C(=O)c2cccs2)cc1
16028117,0,High,CC(C)(C)c1ccc(C(=O)Nc2ccc3c(c2)CCCN3C(=O)c2cccs2)cc1
16028187,0,Moderate,CCN1CCN(c2ncc3c(n2)CCN(Cc2cc(Br)cs2)C3)CC1
16028197,0,High,COc1cccc(N2CCN(c3ncc4c(n3)CCN(Cc3ccc(Br)cc3)C4)CC2)c1
16028421,0,High,CCCCOc1ccc(CNC(=O)c2cc3n(n2)CCCN(Cc2ccc(C)cc2)C3=O)cc1
16029337,0,High,CCN(CCN(C)C)C(=O)C1CCN(S(=O)(=O)c2c(C)noc2/C=C/c2ccccc2F)CC1
16029644,0,High,COc1ccc(CN2CCc3c(c(=O)n4ncc(C(=O)N5CCN(c6ccccc6OC)CC5)c4n3C)C2)cc1
16030494,0,High,COc1ccccc1C(=O)Nc1nnc(SCc2cc(=O)c3ccccc3[nH]2)s1
16030748,0,High,Cc1cccc(-c2cc(NC(=O)c3ccccc3C)n(-c3ccccc3)n2)c1
16031040,0,High,CCOC(=O)c1[nH]c(C)c(CCC(=O)N2CCN(c3cc(C)ccc3C)CC2)c1C
16031229,1,Low,Nc1ncc(S(=O)(=O)N2CCN(c3ccccc3)CC2)cn1
16031687,0,High,Cc1c(Cl)cccc1NC(=O)CNS(=O)(=O)c1cccs1
16031764,0,High,CC1CCN(S(=O)(=O)c2ccc3c(ccc(=O)n3CC(=O)NCc3ccc(Cl)cc3)c2)CC1
7080326,0,High,Cc1c(-c2cccc(NC(=O)c3ccc(F)c(F)c3)c2)nc2ncccn12
16032111,0,High,O=C(COc1ccccc1)NCC(c1cccs1)S(=O)(=O)c1ccc(Cl)cc1
4705986,1,Low,COc1ccc(C2c3c(oc4ccc(Cl)cc4c3=O)C(=O)N2CCCN(C)C)cc1OC
7287095,0,High,COc1ccc(-c2nc3sc(CCNC(=O)C(C)(C)C)c(C)n3n2)cc1
16033040,0,High,CC(C)(C)c1ccc(S(=O)(=O)N2CCC(c3ccncc3)CC2)cc1
16033135,1,Low,O=C(Nc1ccc(N2CCC(N3CCCCC3)CC2)c(C(=O)O)c1)c1ccc(Br)cc1
16033196,1,Low,CCCCNC(=O)CN1CCN(c2ncc(NC(=O)c3ccc(Cl)cc3)cc2C(=O)O)CC1
16033636,0,High,CC(=O)Nc1ccc(C(=O)Nc2ccc3c(c2)N(C2CCCC2)C(=O)c2ccccc2S3)cc1
16033831,0,High,CC(=O)N1CCc2c(sc3c2c(=O)n(-c2ccccc2Cl)c(=O)n3Cc2cccc(C)c2)C1
16033843,0,High,COc1cccc(Cn2c(=O)n(-c3cccc(Cl)c3C)c(=O)c3c4c(sc32)CN(C(C)=O)CC4)c1
4189771,0,High,Cc1n[nH]c(C)c1CCc1nc2c3ccccc3nc(SCC(=O)Nc3ccc(F)cc3)n2n1
4640646,0,High,CCC(Sc1nc2ccccc2c2nc(CCc3c(C)n[nH]c3C)nn12)C(=O)Nc1ccc(F)cc1
4107705,0,High,CCc1ccccc1Nc1ncnc2c1cnn2-c1ccc(Cl)cc1
16033976,0,High,Cc1ccc(-n2ncc3c(NCCCn4ccnc4)ncnc32)cc1Cl
135437057,0,High,CCc1ccccc1-n1c(SCC(=O)Nc2ccc(C)cc2)nc2n[nH]c(C)c2c1=N
16034384,0,High,COc1cc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)N4CCCCCC4)ccc32)cc(OC)c1
16034426,0,Moderate,CCOc1ccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1
3136596,0,High,COc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C)cc2)c2ccc(C)cc2)cc1OC
5300038,0,High,N#Cc1cccc(NC(=O)c2sc3nc4c(cc3c2N)N2CCC4CC2)c1
16034817,0,Moderate,COc1ccc(C2c3c(oc4ccc(C)cc4c3=O)C(=O)N2CCCN2CCOCC2)cc1OC
7312224,1,Low,CCCc1oc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2c1C(=O)OCC
392622,0,High,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
123767,0,Moderate,NC1(c2ccccc2Cl)CCCCC1=O
9872740,1,Low,C[C@@H](O)CNC(C)(C)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C1=O
16351,0,High,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1
65776,0,High,Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)OCCN(C)C)cc12
5708341,0,Moderate,CCN(CC)CCCC(C)Nc1cc(/C=C/c2ccccc2Cl)nc2cc(Cl)ccc12
68363,0,High,CCOc1cc(-c2nccc3cc(OC)c(OC)cc23)cc(OCC)c1OCC
5283451,0,Moderate,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)NCCO
6917728,0,High,CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O.Cl
33036,0,Moderate,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
128563,0,High,COC(=O)[C@@H]1C[C@H](OC(C)=O)C(=O)[C@H]2[C@@]1(C)CC[C@H]1C(=O)O[C@H](c3ccoc3)C[C@]21C
72303,0,High,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
104850,0,High,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1
5329102,0,Moderate,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
10474335,0,High,COc1cccc2c1CCCC2CCCN1CCN(C2CCCCC2)CC1
208908,0,Moderate,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
3081361,0,Moderate,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
636411,0,Moderate,COc1ccc2[nH]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2n1
11224758,0,High,CSc1ccccc1N1CCN(CCCCCC(=O)NC2CCCc3ccccc32)CC1
540335,1,Low,CN1CCN(c2ccc(Nc3c4ccccc4nc4ccccc34)cc2)CC1
619526,0,Moderate,O=C1Nc2cc(Cl)ccc2Nc2cscc21
11219835,0,High,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1
428373,0,Moderate,CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC(C)C)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O
72287,0,High,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
92178,0,High,CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1.CS(=O)(=O)O.CS(=O)(=O)O
24871224,0,Moderate,CC[C@H]1CN2CCC3CC(OC)C(OC)CC3[C@@H]2C[C@@H]1C[C@H]1NCCC2=C1CC(OC)=C(O)C2
25181364,1,Low,Nc1c(-c2ccncc2)cc[nH]c1=O
25181365,0,Moderate,Nc1c(-c2ccccc2)cc[nH]c1=O
25181366,0,High,CN(C)c1ccc(-c2cc[nH]c(=O)c2N)cc1
24180125,0,High,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1
2515,1,Low,CCOC(=O)NNc1ccc(N(CC)CC(C)O)nn1
5736,0,High,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21
3136131,1,Low,CCC(=O)NC(c1ccc(OC)cc1)c1cc(Cl)c2cccnc2c1O
44825271,0,High,Cn1nnnc1Sc1ncnc2scc(-c3ccccc3F)c12
44142144,0,Moderate,Cn1nnnc1Sc1ncnc2scc(-c3cc4ccccc4o3)c12
27901,0,High,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1
3915663,0,High,Cc1ccc(CNCc2cn[nH]c2-c2ccc(C)cc2)cc1
656668,0,High,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(Cc3ccccc3)C2)[C@@H]1c1cccc([N+](=O)[O-])c1
49787093,1,Low,CN1CCN(c2ccc(Nc3nn4c(=O)c5ccccc5nc4s3)cc2)CC1
46907663,0,High,NC(=O)C1CCN(c2nccc(-c3ccc4c(c3)OCCO4)n2)CC1
46907687,0,High,CCOC(=O)C1CCN(c2ncc(-c3ccc4c(c3)OCCCO4)s2)CC1
46907666,0,High,O=C(O)C1CCN(c2ncc(-c3ccc4c(c3)OCCCO4)s2)CC1
49853131,1,Low,Cc1ccnc(NC(=S)N2CCN(c3ccc(N)cc3)CC2)c1
701529,0,High,S=c1[nH]c2ccccc2n1CCc1ccccc1
25256849,1,Low,CC(NCc1ccc2c(c1)nc(NC(=O)c1ccc(-c3cn[nH]c3)s1)n2CC(C)(C)O)C(C)(C)C
44634872,0,High,Cc1ccc(Cl)cc1NS(=O)(=O)c1cc2c(cc1F)NC(=O)CC2
44634868,0,High,Cc1cc(NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)ccc1F
7601970,0,High,O=C1CCc2cc(S(=O)(=O)Nc3ccc(F)c(Cl)c3)ccc2N1
10127622,0,High,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21
49787080,0,Moderate,CN(C)[C@@H]1CCN(c2cccc(Nc3nn4c(=O)c5ccccc5nc4s3)c2)C1
49853213,0,High,N#Cc1ccc(-c2ccc(CNc3ccc(C4CCNCC4)cc3)o2)cc1
46926065,0,Moderate,CC1=C(C(=O)Nc2nc3ccccc3s2)C(c2[nH]ncc2Cl)N=C(Nc2nc3ccccc3o2)N1
45166426,0,High,Cc1cnc(SCc2ccccn2)nc1C1CCCN(C(=O)c2scc3c2CCCC3)C1
45166656,0,High,COCC(C)NCc1cc2ccc(OC)cc2nc1N1CCN(c2ccc(F)cc2)CC1
49852898,0,Moderate,COC(=O)c1ccc(O)c2ncc(N3CCN(C)CC3)cc12
3038525,0,High,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl
46947861,0,High,CCOc1ccc(CCNC(=O)c2cc3ccccc3n2C)cc1OCC
46947870,0,High,CCOc1ccc(CCNC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1OCC
13493,0,High,CCOc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3n2CCN(CC)CC)cc1
4620214,0,High,Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)Nc2nc(-c3ccccc3)cs2)cc1
60167830,0,High,FC(F)(F)c1ccccc1-c1nc(NCc2ccc(-c3cccnc3)cc2)c2ccccc2n1
60167877,0,High,Cc1ccccc1-c1nc(NCc2ccc(-c3cccnc3)cc2)c2ccccc2n1
