mouse_oral_LD50_(?log(mol/kg)),canonical_smiles
4.964134652,CC(C)OP(=O)(F)OC(C)C
3.350082306,CS(=O)(=O)OCCCCOS(C)(=O)=O
1.825488739,Cc1cc(=O)[nH]c(=S)[nH]1
2.165093142,N=C(N)SCCN
0.910227862,NCCCC(=O)O
2.24115425,NCCSSCCN
2.479520705,NCCCNCCCN
1.269883524,ClC(Cl)(Cl)Cl
4.034968818,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC
3.880195749,CCCC[Sn](CCCC)(CCCC)OC(C)=O
4.765318296,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
1.385565644,NCC(=O)O
1.951590055,CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1
2.664864936,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
1.564721284,NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O
4.112474531,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
2.33328871,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
1.352508028,OCC(O)CO
0.828327199,NC(=O)CCC(N)C(=O)O
4.93344829,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1
2.507777042,C=CCN=C=S
0.795263835,NC(N)=O
2.442183474,CN(C)N
2.436387258,C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
3.147059871,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
3.310990527,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
2.867534079,CC1CN1P(=O)(N1CC1C)N1CC1C
3.20508317,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
4.962766981,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
2.463898959,CCCC(C)(COC(N)=O)COC(N)=O
0.538933441,CC(O)CO
2.410003927,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
2.494169246,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
2.406849154,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
3.181880121,CNC1C(OC2C(OC3C(O)C(O)C(NC(=N)N)C(O)C3NC(=N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O
3.937844224,COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C
3.132692599,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
2.877351016,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
3.427044449,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3
3.184432086,Cn1c(=O)c2c(ncn2C)n(C)c1=O
3.431917643,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
2.8870525,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
2.211152132,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O
2.537020266,CC1=CC(=O)c2ccccc2C1=O
2.850720373,CNCCCN1c2ccccc2CCc2ccccc21
2.370539769,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
2.97075703,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
2.850827975,CN(C)CCCN1c2ccccc2Sc2ccccc21
2.761283911,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2
2.703493429,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
1.487986331,Cc1ncc(CO)c(CO)c1O
1.127475735,O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O
3.368971138,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC
0.814739649,O=CC(O)C(O)C(O)CO
3.248016343,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.403806611,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
1.567803928,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
1.975665208,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
3.493130385,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
1.528238424,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br
2.976835141,CCN(CC)C(=O)c1cccnc1
1.644836264,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
2.913110105,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1
1.301526255,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
2.403261163,Cc1ccccc1OCC(O)CO
2.522281179,O=C1Cc2ccccc2N1
2.3872163,O=c1[nH]c2ccccc2o1
2.37592259,Cc1cc(O)ccc1Cl
2.757766751,OCC(S)CS
2.132404079,CCCSSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N
3.078533822,Cc1cc(C(=O)NNCc2ccccc2)no1
2.900768428,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
2.412459497,CC(COc1ccccc1)N(CCCl)Cc1ccccc1
2.621987385,c1ccc(CC2=NCCN2)cc1
1.373324421,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
2.875630299,CN(C)c1ccc(N=Nc2ccccc2)cc1
1.682120193,OCCc1ccccc1
1.923918834,NCCS
2.614097574,OCCS
2.458560792,C[N+](C)(C)CCCCCC[N+](C)(C)C
1.83837082,CC(=O)OCC[N+](C)(C)C
0.962515035,NCCCCCC(=O)O
0.748888537,CCCCCC=CCC=CCCCCCCCC(=O)O
0.660762556,CC(N)=O
2.21406526,CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1
3.582182721,CNC(=O)CSP(=S)(OC)OC
2.511822442,CN(C)C1C(=O)C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
2.123064961,Cn1cc[nH]c1=S
2.157417547,Cc1cc(=O)n(-c2ccccc2)n1C
2.994093457,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
3.301682348,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
2.944447906,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
2.88689696,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
2.630435863,COc1ccc(OC)c(C(O)C(C)NC(C)C)c1
3.847698076,COc1ccc(OC)c(C(O)C(C)N)c1
2.184678815,CCCCN1CC2Cc3cc(OC)c(OC)cc3C2C1
1.77702497,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
1.932891623,O=C1NCCN1c1ncc([N+](=O)[O-])s1
2.66238002,Cc1cccc(Nc2ccccc2C(=O)O)c1C
1.909873764,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1
2.494420018,Nc1nc2cc(Cl)ccc2o1
0.757385699,Nc1nnc[nH]1
3.188365926,COC(C[Hg+])CNC(N)=O
4.405078829,CC(=O)O[Hg]c1ccccc1
2.315866158,CCOc1ccc(NC(C)=O)cc1
2.421887344,CCOS(C)(=O)=O
2.335531086,CC(=O)OC(C)C[N+](C)(C)C
2.817614514,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1
3.559015273,COP(=O)(OC)OC=C(Cl)Cl
3.196471966,CNC(=O)Oc1cccc2ccccc12
3.49892173,COc1cc(NC(C)CCCN)c2ncccc2c1
3.067775084,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1
1.738238248,Nc1ccc(S(N)(=O)=O)cc1
2.256568612,NC(=O)NC(=O)Cc1ccccc1
2.353793347,Cc1cccc(NC(N)=O)c1
4.081990531,CNC(=O)Oc1cccc(C(C)C)c1
2.481381708,NCCc1ccccc1
1.935373318,NC(=O)Nc1ccccc1
2.734083256,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.412878344,CC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1
2.625649128,CCC(C)C(C)(COC(N)=O)COC(N)=O
3.422491349,O=C(CCCN1CCC2(CCCCC2)CC1)c1ccc(F)cc1
3.578099465,CCC1(C)CC(=O)NC(=O)C1
2.377143478,CCOS(=O)(=O)OCC
3.350313419,O=C(O)CI
2.459198507,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
4.831634557,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2
1.972199589,CCC(c1ccc(O)cc1)C(C#N)c1ccc(O)cc1
2.070897491,Cc1ncc(CO)c(C=O)c1O
3.079885764,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC
2.660036557,NC(=O)c1ccccc1O
1.464625594,Nc1ccc(C(=O)O)c(O)c1
1.5566987,Cc1c[nH]c(=O)[nH]c1=O
1.892364561,O=C(O)c1cc(=O)[nH]c(=O)[nH]1
2.591147866,NC(Cc1cc(I)c(O)c(I)c1)C(=O)O
3.405890201,CC(CNN)c1ccccc1
1.146469133,O=c1cc[nH]c(=O)[nH]1
1.082039358,CCCCCC=O
2.579523415,COS(C)(=O)=O
5.334109964,O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46
2.003956905,CC[N+](CC)(CC)CC
3.159369655,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
3.325398366,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
2.515887541,COc1ccc2[nH]cc(CCN)c2c1
1.50875563,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
2.118705522,CC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
2.10158354,O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1
1.426690564,C[N+](C)(C)CCO
1.95756663,Cc1cc(C)[nH]n1
1.222543065,CC(C)O
1.286905353,CC(C)=O
3.520621798,ClC(Cl)Cl
0.994125993,CS(C)=O
2.053552834,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
2.694772217,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
3.141226515,CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
3.956674549,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
2.392350331,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1
3.687674017,CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3
1.401489673,CN(C)C=O
1.696685407,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
2.278085524,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
2.204220872,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
2.032218911,Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C
3.061191019,CCc1oc2ccccc2c1C(=O)c1cc(I)c(O)c(I)c1
2.668808512,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
3.133099949,CCC(c1ccc(OCCN(CC)CC)cc1)C(CC)c1ccc(OCCN(CC)CC)cc1
3.298586148,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
2.974269233,C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1
3.973207785,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
1.737212477,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
2.43344536,O=C(O)c1ccccc1O
2.08146378,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
0.890950416,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
0.819065839,CN1CC(O)c2cc(N=NC(N)=O)c(O)cc21
1.649778664,COc1ccccc1OCC1CNC(=O)O1
1.605902031,O=c1[nH]sc2cc(Cl)ccc12
1.788632125,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
4.261397627,O=C1CCCN1CC#CCN1CCCC1
1.468576419,CCS(=O)CC
3.97612087,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
1.456995759,CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C
2.621620336,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
2.948439165,CCC(=O)c1ccc(N)cc1
2.479490852,O=CC(=O)c1ccc(Oc2ccccc2)cc1
1.014680115,NC(Cc1cnc[nH]1)C(=O)O
0.946336654,CCCO
1.441818194,CCCCO
2.644192321,CCCCCO
1.220631019,c1ccccc1
1.347020857,CC(Cl)(Cl)Cl
1.383065471,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C
5.18902785,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
3.452909442,OC(c1ccccc1)(c1ccccc1)C1CCCCN1
3.027501957,CN(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
2.455910313,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
1.449521778,CC(O)C(=O)O
1.491973478,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C
2.831070154,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
2.657370049,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1.667967744,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1
1.51588148,CCOC(=O)C=C1SC(N2CCCCC2)C(=O)N1C
2.236990015,Nc1ncnc2nc[nH]c12
2.269107413,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
1.624717204,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
1.462014451,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
2.84486954,CCOCc1cnc(C)nc1N
3.00283727,CCN(CC)CC(=O)Nc1c(C)cccc1C
2.126517142,O=C(O)c1ccc(Cl)cc1
1.160268395,c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1
1.333292429,CCC(CO)NCCNC(CC)CO
2.774250475,CC(C)OP(=S)(Oc1ccc([N+](=O)[O-])cc1)OC(C)C
2.37246373,BrC(Br)Br
2.561178267,ClC(Cl)Br
1.781158604,CC(C)Cl
1.429252973,CC(C)N
2.698719205,C=C(Cl)Cl
2.923101752,IC(I)I
1.80789092,C[N+](=O)[O-]
2.120573931,CC1CO1
2.921115179,C[N+](C)(C)C
1.644126997,CC(C)(C)O
4.651663971,CC(C)(O)C#N
2.436688256,OCC(F)(F)F
2.449680843,CC(C)(C)OO
1.789845287,CC(=O)C(C)(C)C
1.543612586,CC(C)(O)C(C)(C)O
2.406178117,FC(Cl)(Cl)C(F)(Cl)Cl
1.939023775,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
1.819793912,CC12CCC(C(Br)C1=O)C2(C)C
3.739573508,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
3.025556918,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
2.913006298,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
3.244562377,O[Sn](c1ccccc1)(c1ccccc1)c1ccccc1
2.577801899,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1
2.057375082,O=C(O)C(O)(c1ccccc1)c1ccccc1
1.610132628,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
2.91482031,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1
2.780693266,CCC1(c2ccccc2)CCC(=O)NC1=O
1.830937504,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
2.353768814,CN1C(=O)CC(C)(c2ccccc2)C1=O
2.732510002,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
3.478202885,CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC
2.708408078,CCC(Br)(CC)C(=O)NC(N)=O
2.241692756,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O
1.965050984,CCC1(C)CC(=O)NC1=O
2.842497565,C1=CC2C3C=CC(C3)C2C1
2.271708876,C#CC(C)(O)CC
2.95470069,COS(=O)(=O)OC
1.868339473,O=S1(=O)CC=CC1
3.032076324,c1ccc([Sn](S[Sn](c2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1
0.990951037,CCC(CO)(CO)CO
2.8479193,OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
2.281159006,CCC(C)(CC)OC(N)=O
2.612040566,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C
3.413975679,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
1.171937512,C=CC(C)(CCC=C(C)C)OC(=O)C(C)C
1.822578634,CCOP(=O)(CC)OCC
2.188561474,CCOP(=O)(OCC)OCC
1.530921721,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
2.160258386,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
3.611160303,CCCCSP(=O)(SCCCC)SCCCC
4.83634469,CCOP(=S)(OCC)SCSC(C)C
2.818746489,COP(=S)(OC)SCc1nc(N)nc(N)n1
1.710787187,CC1=CC(=O)CC(C)(C)C1
2.314638274,CCC(C)(O)C#CC(C)(O)CC
2.370306851,CC(C)(C#N)N=NC(C)(C)C#N
1.546227247,CCC(C)(O)CCCC(C)C
1.711112364,C=CC(C)(O)CCC=C(C)C
2.713277684,ClCC1(CCl)COC1
2.475165961,CC(Br)CBr
2.276153125,C#CC(=C)C
3.441582032,CC(C)C#N
2.118530026,CC(Cl)CCl
1.250522404,CCC(C)=O
3.478306335,C=CC(C)=O
2.862455373,CC(=O)CCl
2.547680307,ClCC(Cl)Cl
1.737986004,ClC=C(Cl)Cl
2.710436638,O=C(Cl)CCl
2.822357531,C=CC(N)=O
2.780540292,NC(=O)CCl
3.1428523,O=C(O)CBr
1.068154205,CCC(=O)O
1.477501096,C=CC(=O)O
1.055030126,O=C(O)CO
2.558885634,CC(=O)OO
3.149343218,COC(=O)Cl
1.940950609,CC[N+](=O)[O-]
3.108889307,BrC(Br)C(Br)Br
2.638075553,FC(F)=C(F)Cl
2.275783637,C=C(C)C(N)=O
2.535843649,NC(=S)C(N)=S
1.838042695,C=C(C)C(=O)O
1.893453126,CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O
1.937582436,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
3.154324138,CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C
2.620852743,CC(C)(O)C(C)(O)c1ccc(Cl)cc1
1.860273947,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
1.971279286,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1
1.164887958,Nc1ccc(S(=O)(=O)c2ccc(NCCO)cc2)cc1
1.978277549,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
1.077923289,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
2.997048954,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
2.194297487,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1
